set,R2,,d1,k1,d2,k2,Kd,n,k3
70,0.858994889,,0.01829,0.08299,0.11669,0.001023,89.29627309,0.964487,0.000432
91,0.855055532,,0.01829,0.08299,0.11669,0.001023,85.93432434,0.964487,0.000432
62,0.85277879,,0.01829,0.08299,0.11669,0.001023,83.3361309,0.964487,0.000432
87,0.85042752,,0.01829,0.08299,0.11669,0.001023,79.89139417,0.964487,0.000432
38,0.844854954,,0.01829,0.08299,0.11669,0.001023,73.70551753,0.964487,0.000432
17,0.844507558,,0.01829,0.08299,0.11669,0.001023,71.75188804,0.964487,0.000432
39,0.834059892,,0.01829,0.08299,0.11669,0.001023,62.25391476,0.964487,0.000432
79,0.83003506,,0.01829,0.08299,0.11669,0.001023,59.91009386,0.964487,0.000432
49,0.820813092,,0.01829,0.08299,0.11669,0.001023,52.78372068,0.964487,0.000432
43,0.815122153,,0.01829,0.08299,0.11669,0.001023,48.69675252,0.964487,0.000432
95,0.811414749,,0.01829,0.08299,0.11669,0.001023,46.14946457,0.964487,0.000432
29,0.804288212,,0.01829,0.08299,0.11669,0.001023,40.97321098,0.964487,0.000432
42,0.803729367,,0.01829,0.08299,0.11669,0.001023,41.13075359,0.964487,0.000432
93,0.795389914,,0.01829,0.08299,0.11669,0.001023,35.96113027,0.964487,0.000432
92,0.792591304,,0.01829,0.08299,0.11669,0.001023,34.3426128,0.964487,0.000432
34,0.789737446,,0.01829,0.08299,0.11669,0.001023,32.7969406,0.964487,0.000432
61,0.787762899,,0.01829,0.08299,0.11669,0.001023,31.80533688,0.964487,0.000432
66,0.785480329,,0.01829,0.08299,0.11669,0.001023,30.49064887,0.964487,0.000432
81,0.785007823,,0.01829,0.08299,0.11669,0.001023,30.1416253,0.964487,0.000432
69,0.782675285,,0.01829,0.08299,0.11669,0.001023,29.00681199,0.964487,0.000432
31,0.781545259,,0.01829,0.08299,0.11669,0.001023,27.59518649,0.964487,0.000432
35,0.776170555,,0.01829,0.08299,0.11669,0.001023,25.75332647,0.964487,0.000432
24,0.773032712,,0.01829,0.08299,0.11669,0.001023,24.31270795,0.964487,0.000432
55,0.769618936,,0.01829,0.08299,0.11669,0.001023,22.68993926,0.964487,0.000432
50,0.764220012,,0.01829,0.08299,0.11669,0.001023,20.22242965,0.964487,0.000432
19,0.763004002,,0.01829,0.08299,0.11669,0.001023,19.53589594,0.964487,0.000432
28,0.760865517,,0.01829,0.08299,0.11669,0.001023,18.0232594,0.964487,0.000432
23,0.759699974,,0.01829,0.08299,0.11669,0.001023,17.54553708,0.964487,0.000432
97,0.759345095,,0.01829,0.08299,0.11669,0.001023,17.88545529,0.964487,0.000432
48,0.757647311,,0.01829,0.08299,0.11669,0.001023,17.34469497,0.964487,0.000432
4,0.745840944,,0.01829,0.08299,0.11669,0.001023,12.56512076,0.964487,0.000432
1,0.74514752,,0.01829,0.08299,0.11669,0.001023,12.46904905,0.964487,0.000432
80,0.742915404,,0.01829,0.08299,0.11669,0.001023,11.54781985,0.964487,0.000432
25,0.740156943,,0.01829,0.08299,0.11669,0.001023,10.17419366,0.964487,0.000432
86,0.739119082,,0.01829,0.08299,0.11669,0.001023,9.716279516,0.964487,0.000432
71,0.737899927,,0.01829,0.08299,0.11669,0.001023,9.753638756,0.964487,0.000432
60,0.728998753,,0.01829,0.08299,0.11669,0.001023,6.69627581,0.964487,0.000432
9,0.728225948,,0.01829,0.08299,0.11669,0.001023,6.201546437,0.964487,0.000432
67,0.727542774,,0.01829,0.08299,0.11669,0.001023,6.130557921,0.964487,0.000432
16,0.726978334,,0.01829,0.08299,0.11669,0.001023,5.298667488,0.964487,0.000432
83,0.726554109,,0.01829,0.08299,0.11669,0.001023,5.339492736,0.964487,0.000432
45,0.724853985,,0.01829,0.08299,0.11669,0.001023,4.945004221,0.964487,0.000432
21,0.723186193,,0.01829,0.08299,0.11669,0.001023,4.722442369,0.964487,0.000432
12,0.721842591,,0.01829,0.08299,0.11669,0.001023,4.306918629,0.964487,0.000432
27,0.721443718,,0.01829,0.08299,0.11669,0.001023,4.176700491,0.964487,0.000432
5,0.7210994,,0.01829,0.08299,0.11669,0.001023,3.927956474,0.964487,0.000432
10,0.720356244,,0.01829,0.08299,0.11669,0.001023,3.62382041,0.964487,0.000432
51,0.719434398,,0.01829,0.08299,0.11669,0.001023,3.568617493,0.964487,0.000432
14,0.719309344,,0.01829,0.08299,0.11669,0.001023,3.421107072,0.964487,0.000432
13,0.716399752,,0.01829,0.08299,0.11669,0.001023,2.014497193,0.964487,0.000432
99,0.716008976,,0.01829,0.08299,0.11669,0.001023,2.536101709,0.964487,0.000432
56,0.71574237,,0.01829,0.08299,0.11669,0.001023,2.450003285,0.964487,0.000432
36,0.715415097,,0.01829,0.08299,0.11669,0.001023,1.701505406,0.964487,0.000432
46,0.713709918,,0.01829,0.08299,0.11669,0.001023,1.830206106,0.964487,0.000432
57,0.713610414,,0.01829,0.08299,0.11669,0.001023,1.734469497,0.964487,0.000432
74,0.712852117,,0.01829,0.08299,0.11669,0.001023,1.522299133,0.964487,0.000432
94,0.712653881,,0.01829,0.08299,0.11669,0.001023,1.431638382,0.964487,0.000432
32,0.712044235,,0.01829,0.08299,0.11669,0.001023,1.325867118,0.964487,0.000432
63,0.712006267,,0.01829,0.08299,0.11669,0.001023,1.305669723,0.964487,0.000432
41,0.711795473,,0.01829,0.08299,0.11669,0.001023,1.275949051,0.964487,0.000432
78,0.711711028,,0.01829,0.08299,0.11669,0.001023,1.094376268,0.964487,0.000432
88,0.711481343,,0.01829,0.08299,0.11669,0.001023,1.077705254,0.964487,0.000432
53,0.711312722,,0.01829,0.08299,0.11669,0.001023,0.494500422,0.964487,0.000432
37,0.711053266,,0.01829,0.08299,0.11669,0.001023,1.013522358,0.964487,0.000432
82,0.710916474,,0.01829,0.08299,0.11669,0.001023,0.920802875,0.964487,0.000432
76,0.71069813,,0.01829,0.08299,0.11669,0.001023,0.414476584,0.964487,0.000432
11,0.710631139,,0.01829,0.08299,0.11669,0.001023,0.325461783,0.964487,0.000432
3,0.710596856,,0.01829,0.08299,0.11669,0.001023,0.960505818,0.964487,0.000432
15,0.710524952,,0.01829,0.08299,0.11669,0.001023,0.889542427,0.964487,0.000432
22,0.710364292,,0.01829,0.08299,0.11669,0.001023,0.218356773,0.964487,0.000432
90,0.710297946,,0.01829,0.08299,0.11669,0.001023,0.250707119,0.964487,0.000432
6,0.710236453,,0.01829,0.08299,0.11669,0.001023,0.220885225,0.964487,0.000432
26,0.71020484,,0.01829,0.08299,0.11669,0.001023,0.187283708,0.964487,0.000432
96,0.710160142,,0.01829,0.08299,0.11669,0.001023,0.134121994,0.964487,0.000432
85,0.710065987,,0.01829,0.08299,0.11669,0.001023,0.17344695,0.964487,0.000432
65,0.710065675,,0.01829,0.08299,0.11669,0.001023,0.811272335,0.964487,0.000432
40,0.709734787,,0.01829,0.08299,0.11669,0.001023,0.104512122,0.964487,0.000432
58,0.709574663,,0.01829,0.08299,0.11669,0.001023,0.115035884,0.964487,0.000432
75,0.70956715,,0.01829,0.08299,0.11669,0.001023,0.111130517,0.964487,0.000432
72,0.709521692,,0.01829,0.08299,0.11669,0.001023,0.622539148,0.964487,0.000432
18,0.709183897,,0.01829,0.08299,0.11669,0.001023,0.569945506,0.964487,0.000432
64,0.709126431,,0.01829,0.08299,0.11669,0.001023,0.490719519,0.964487,0.000432
