set,R2,,d1,k1,d2,k2,Kd,n,k3
47,0.860599818,,0.01829,0.08299,0.11669,0.001023,90.41029,0.974341891,0.000432
26,0.86059017,,0.01829,0.08299,0.11669,0.001023,90.41029,0.973666763,0.000432
80,0.860533442,,0.01829,0.08299,0.11669,0.001023,90.41029,0.972317909,0.000432
99,0.860437188,,0.01829,0.08299,0.11669,0.001023,90.41029,0.96828255,0.000432
56,0.860330021,,0.01829,0.08299,0.11669,0.001023,90.41029,0.964263938,0.000432
46,0.860281521,,0.01829,0.08299,0.11669,0.001023,90.41029,0.963595793,0.000432
78,0.859987986,,0.01829,0.08299,0.11669,0.001023,90.41029,1.012203943,0.000432
66,0.859877878,,0.01829,0.08299,0.11669,0.001023,90.41029,0.941804813,0.000432
5,0.859823639,,0.01829,0.08299,0.11669,0.001023,90.41029,0.947698461,0.000432
21,0.859704603,,0.01829,0.08299,0.11669,0.001023,90.41029,0.935299292,0.000432
14,0.859425682,,0.01829,0.08299,0.11669,0.001023,90.41029,0.94115223,0.000432
70,0.859406464,,0.01829,0.08299,0.11669,0.001023,90.41029,0.938546416,0.000432
82,0.859398145,,0.01829,0.08299,0.11669,0.001023,90.41029,0.936596791,0.000432
91,0.858771936,,0.01829,0.08299,0.11669,0.001023,90.41029,0.981799271,0.000432
39,0.858595244,,0.01829,0.08299,0.11669,0.001023,90.41029,0.912881814,0.000432
74,0.858047188,,0.01829,0.08299,0.11669,0.001023,90.41029,0.926909248,0.000432
72,0.857066099,,0.01829,0.08299,0.11669,0.001023,90.41029,0.857078944,0.000432
77,0.856947418,,0.01829,0.08299,0.11669,0.001023,90.41029,0.901562866,0.000432
16,0.856587442,,0.01829,0.08299,0.11669,0.001023,90.41029,0.90909313,0.000432
49,0.855948673,,0.01829,0.08299,0.11669,0.001023,90.41029,0.883621238,0.000432
35,0.855637625,,0.01829,0.08299,0.11669,0.001023,90.41029,0.87569477,0.000432
1,0.85537124,,0.01829,0.08299,0.11669,0.001023,90.41029,0.81253395,0.000432
6,0.855367035,,0.01829,0.08299,0.11669,0.001023,90.41029,0.865436576,0.000432
31,0.855336467,,0.01829,0.08299,0.11669,0.001023,90.41029,0.85529855,0.000432
58,0.855192624,,0.01829,0.08299,0.11669,0.001023,90.41029,0.867238073,0.000432
95,0.854993086,,0.01829,0.08299,0.11669,0.001023,90.41029,0.827883689,0.000432
64,0.854976501,,0.01829,0.08299,0.11669,0.001023,90.41029,0.838277609,0.000432
100,0.854746977,,0.01829,0.08299,0.11669,0.001023,90.41029,0.848802023,0.000432
