"FSC-A","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
9.506408,411.609222,208.289703,307.434540,472.949768
7.064482,163.091965,0.270684,0.118953,0.526480
6.165465,140.837387,-0.082944,0.276333,0.394425
8.640612,356.499939,204.028152,291.646301,435.400269
8.056196,171.539825,-0.246714,0.046283,0.305303
12.739438,382.250336,227.627029,330.691803,485.557190
11.659442,375.522491,230.927307,326.490082,470.718475
10.195890,435.421204,205.738083,305.492981,474.834900
10.650167,402.474457,216.401459,306.357605,459.825867
9.922884,389.790649,199.865662,292.222046,451.951202
11.689634,388.477020,208.670120,312.427490,483.939941
7.976194,351.235596,192.004440,276.628235,419.023865
7.565408,167.739197,0.090219,0.172451,-0.075458
11.313444,364.318909,225.921585,327.403046,478.388885
6.875065,166.275467,0.157210,0.108307,0.202907
7.369102,168.303589,0.123153,0.178461,0.190370
6.316762,137.540619,0.074076,0.083860,0.171701
7.232900,160.048950,0.151280,0.277505,0.155985
6.715553,163.659546,0.155123,0.238049,0.123891
6.774275,370.635468,180.363525,256.986542,382.633942
6.395642,161.957855,-0.084521,0.122900,0.232182
7.298154,155.960831,0.131127,0.051135,0.017048
7.100009,155.329300,-0.004209,0.201638,0.117749
10.372574,427.669556,205.144440,299.584991,475.180725
11.587281,410.029938,212.212448,311.472351,488.630310
6.812031,139.919266,0.039171,0.197181,0.280517
8.020882,360.570129,203.249313,292.586365,422.212952
11.402120,381.721558,206.867584,299.888123,473.862274
11.434295,388.099701,227.824249,326.736786,484.241730
6.757163,155.681442,0.128289,0.127554,0.155359
10.630330,406.086365,212.241943,308.173065,466.302185
9.091154,377.235596,193.718521,283.246124,429.475311
11.455753,385.343018,214.903442,316.821564,477.720642
10.047114,379.201813,209.973923,307.159943,485.379639
7.957067,356.121918,181.568710,258.019867,406.446289
10.356179,395.276764,216.983643,311.038910,464.890076
12.348186,391.351929,222.882523,323.153168,489.670227
6.867330,166.148285,0.311310,0.116873,0.011407
9.761735,404.516815,204.402649,301.146667,472.408844
11.341928,400.136810,209.543518,307.376221,488.075897
13.197387,403.054810,214.767746,313.159393,494.602844
11.222567,350.393860,219.959045,319.875854,488.452087
7.129221,151.774368,0.044182,0.138454,0.083008
6.194645,168.120712,0.126429,0.207947,-0.165456
6.882640,163.839020,0.047561,0.150164,0.143416
6.896914,159.092758,-0.066491,0.298421,0.142977
10.339860,401.240143,215.089798,310.640045,456.197723
7.845174,158.475540,0.022690,0.184436,-0.074370
11.697268,372.826111,217.436569,317.607178,482.913208
6.187909,169.571396,0.095688,0.150044,-0.044477
11.740982,370.275665,221.505081,321.117188,488.388641
10.050320,426.085205,204.838654,300.255646,471.742584
6.709863,157.000015,0.185442,0.002609,0.348348
13.937281,439.210480,233.267761,341.572601,524.807495
11.461294,377.543884,217.948105,310.255676,481.370880
10.842795,406.838623,212.600037,309.891174,465.277039
7.064372,167.806381,0.021633,0.268846,0.028679
18.353563,2001.433594,237.028671,325.984467,480.415955
6.265163,161.377731,0.063558,-0.028933,0.125728
12.861882,318.363831,0.151382,0.283846,0.128572
10.674620,395.713867,218.223648,316.904205,484.934479
11.255247,402.182495,219.439133,311.554321,470.092072
6.234518,168.163467,0.124562,0.155315,0.386703
6.772461,140.838882,-0.099733,0.260825,0.448408
13.794399,406.129944,221.735794,324.227020,502.837067
10.946857,391.355377,216.998611,312.797150,480.529388
5.199225,8.740138,0.236128,0.404785,0.445084
11.389195,381.531647,216.996536,320.309387,479.810394
10.968786,403.731659,216.084015,322.373169,480.687073
18.243332,500.614105,209.408630,308.940918,451.207642
7.120718,158.412033,-0.107718,0.385080,0.228570
6.940009,139.298370,0.009751,0.114397,0.053580
9.799024,372.401276,202.287323,294.764862,450.018219
8.892245,367.811615,200.344513,284.787323,430.301941
6.877991,159.082520,0.056296,0.199752,0.107162
11.375942,406.423676,217.019043,316.050232,471.951874
7.393343,166.431564,0.084803,0.421614,-0.089785
6.957592,153.368530,0.072136,0.150824,0.243773
6.506168,154.092163,-0.027425,0.151487,0.217814
9.178124,381.241150,200.439346,295.070007,432.042297
9.896961,401.733734,204.431183,302.332581,461.561554
9.723491,403.154144,199.450836,289.656128,441.705414
6.629118,150.612106,0.268710,0.154793,0.093558
6.650275,162.383408,0.154363,0.176567,0.311558
8.712833,376.733765,204.990814,295.551331,428.979279
8.419224,348.779388,200.847519,295.197510,422.580658
6.953457,161.357178,-0.057314,0.219977,0.051132
6.219695,324.602478,171.349197,250.302612,371.135254
6.474671,156.761429,0.165189,0.283419,0.080149
7.032502,150.177185,-0.089962,0.109401,0.272239
5.753205,138.429291,0.138868,0.207048,0.139986
10.335673,376.509674,226.730179,330.193909,468.039581
10.953259,363.712189,216.499207,316.645782,471.917114
6.848907,165.664322,0.305106,0.166973,0.049189
8.687516,335.776031,198.142166,282.556793,425.080536
12.113626,366.768005,226.535339,324.978424,490.116852
11.265394,381.377625,225.053726,322.158142,473.516632
10.878694,388.562164,221.041290,322.257050,462.248322
10.849461,371.250732,220.294235,319.772400,480.231384
7.268584,154.449219,0.138374,-0.072341,0.171920
11.665695,384.206146,223.490067,325.458679,462.028015
11.072751,368.047546,223.873352,320.110962,469.554260
8.583864,426.623260,205.443466,298.646393,447.684875
11.755911,397.775970,219.744247,320.452850,475.331573
10.859305,388.566010,221.706284,321.924072,472.210846
6.480682,159.709793,0.171476,-0.075082,-0.003675
11.063212,412.215912,207.108521,301.850922,463.898254
12.119995,397.392181,217.777466,317.090515,482.973053
7.228626,359.116699,197.345825,288.669769,414.329926
6.705906,162.595642,0.156468,0.382668,0.043703
11.515457,405.185760,217.443985,311.700745,472.996246
6.344753,154.674698,0.277186,0.274753,0.052264
6.482168,155.963623,0.121499,0.166397,0.066160
7.400386,155.039490,0.145836,0.308231,-0.065899
6.848206,149.756683,0.055264,0.220642,0.078772
6.096258,150.208603,0.356304,0.160336,0.138312
11.817286,377.167023,215.873901,316.062134,482.011230
7.515088,157.460342,0.101840,0.204884,0.268247
7.294114,155.603500,0.165161,0.116443,0.122492
10.728791,356.045135,220.283508,316.062408,475.670349
10.388709,401.408905,212.667084,310.213806,472.208527
10.221468,395.358795,218.062195,313.395264,450.447021
10.793388,367.792236,215.594818,315.609833,471.852570
6.714903,160.764862,0.136723,0.211301,0.447957
11.119730,350.327637,212.552032,311.326019,476.896362
6.412895,153.563965,-0.107725,0.067099,0.314490
6.917316,160.362747,0.196118,0.142841,0.176656
7.373764,147.973419,-0.055336,-0.061557,0.289600
11.052960,377.169708,222.105942,320.464264,459.023895
10.244713,382.304901,205.562256,298.248016,449.671661
10.872218,360.760681,215.300629,317.480347,463.045654
6.491201,165.008331,0.089285,0.177390,0.220921
8.356472,387.246155,203.245377,297.356415,444.785645
9.795150,405.738708,204.518631,298.365845,445.006409
10.930552,370.732452,223.976715,323.433258,480.342438
7.454778,168.574997,0.372387,0.016824,0.105424
11.008178,401.689087,213.798233,315.769226,481.886261
7.492324,158.620636,0.201474,0.183110,0.060112
10.127969,399.252899,215.370972,313.151764,467.333252
11.113714,361.902283,226.372742,324.268219,485.153534
6.303234,170.537918,-0.076552,0.068511,0.104335
6.711862,151.532822,0.248050,0.097654,-0.127260
7.915296,163.645782,0.163270,0.027627,0.092860
9.799203,402.493958,208.675095,311.825317,469.000122
7.432668,156.885971,0.130560,0.189998,0.067501
10.351868,401.139862,210.072464,302.147980,467.248688
7.048432,170.985687,0.181351,-0.065062,0.017315
7.388834,152.339127,0.279183,0.244491,0.044134
12.440730,433.249756,228.940430,334.475342,492.673981
12.158193,360.135254,217.161179,320.922638,479.020935
6.767746,156.016602,-0.169905,0.083077,-0.114755
9.779049,399.878632,216.165970,316.585114,458.311676
6.962648,152.421097,-0.061667,-0.017360,0.087955
7.403866,159.993408,0.280945,0.080541,0.166060
6.932511,152.177902,0.135725,0.297722,0.192557
6.851159,159.010071,0.047756,0.102191,0.096693
10.315840,381.183258,204.480545,301.663635,460.407684
6.877308,154.087387,-0.038519,0.253967,0.248127
7.053036,161.822891,0.127463,0.226331,0.267686
7.061880,154.940399,0.003455,0.013980,-0.003747
10.611615,362.545563,210.425201,302.867371,465.109985
9.732396,379.603699,202.036469,293.018707,436.353729
6.671648,156.611237,0.396275,0.079742,-0.007589
11.786471,375.862671,214.307404,315.905396,473.032257
7.170545,160.589096,0.218234,0.197841,0.341136
6.807936,160.356003,0.140079,0.100231,0.111065
6.716495,160.732513,0.084812,0.081198,0.076646
7.117721,170.071350,0.333281,-0.013423,0.264400
9.020358,390.648285,204.889557,290.956451,441.986359
8.900106,393.400330,200.401382,288.307404,443.708527
11.374702,405.879456,213.109955,316.278381,476.422882
11.215832,370.270721,218.994522,321.842773,476.915161
6.654014,153.424896,0.081862,0.095202,0.124628
10.790853,366.819031,220.865524,321.699768,449.768188
11.130986,364.220215,218.769318,318.279968,463.144623
6.724152,154.085342,0.022138,0.071816,0.118092
6.573203,160.053940,0.068481,0.151628,0.362317
6.928056,159.954865,0.141384,0.197098,-0.093763
11.348701,361.875092,210.209824,306.427216,461.560272
10.221089,392.307861,212.386108,318.026642,460.952545
11.188508,365.210785,221.359131,322.284821,465.516998
9.556794,381.362640,200.201157,291.933044,435.243927
6.872429,153.515808,0.095376,0.473777,0.355739
9.152267,418.020355,203.561432,304.742188,451.560394
11.018788,370.013977,223.166183,322.940887,457.614594
10.839832,381.583191,211.766922,309.428925,458.527374
10.144087,396.237213,213.877136,307.923279,441.088623
14.690928,408.236572,249.641144,361.529358,506.951508
10.541275,407.834290,211.660385,304.943726,460.604462
6.908588,158.029419,0.105839,0.159259,0.031853
10.914744,377.857025,220.537659,311.015991,461.506653
6.850098,158.912338,0.210143,0.123644,-0.012002
10.166937,381.081329,217.625565,310.911774,447.625854
9.727801,402.418152,212.264465,309.575500,440.776642
6.199308,150.422333,0.017506,0.241151,0.024415
6.069132,158.330078,0.111277,0.217036,0.090902
6.978542,169.099899,-0.166173,0.185410,0.074468
8.449508,370.104279,195.339523,286.725586,438.300507
6.497695,154.856277,-0.035736,0.199844,0.200986
9.912242,385.463196,211.365051,303.620148,439.536072
21.168137,280.784271,0.054218,0.171346,0.471361
7.163469,175.803391,0.004949,0.047501,0.032862
7.134938,171.183838,0.169228,0.212342,0.209543
8.941330,373.754181,198.892014,295.821625,449.636963
10.929898,348.717529,215.602554,317.344879,476.576691
10.498080,375.466522,222.217590,323.577820,467.137207
10.468827,376.447449,222.695984,325.517059,460.821198
10.689224,429.966095,204.483063,302.498169,468.870178
9.025534,353.895752,201.084274,287.845978,421.636139
12.199018,386.558411,218.259598,324.518951,478.191650
7.162197,160.501450,0.183350,0.070391,-0.008109
10.259161,401.174438,214.262543,311.384613,466.239502
6.399888,154.183167,0.018409,0.207895,0.073216
6.947928,163.713593,0.308513,-0.038159,-0.205327
7.899283,322.743988,194.727219,279.724182,414.856354
13.942606,318.902740,0.160534,0.106227,-0.020639
9.731424,359.753082,212.226273,308.979950,459.710052
11.374248,384.705139,222.112045,325.480347,474.892822
10.243385,416.205231,204.722916,302.848663,463.041168
11.160256,385.443817,218.874527,322.573456,475.273590
10.526844,378.157806,220.968872,320.991211,454.559631
10.929587,388.860382,212.554657,308.903809,470.693054
6.534389,158.746277,-0.154828,0.267657,0.154777
6.661098,167.627487,0.074886,0.087246,0.178303
8.487626,354.106262,205.587601,299.708832,415.610992
10.764503,358.392303,219.082306,315.804718,458.132904
7.568017,158.282715,0.084794,0.052054,-0.042799
6.728463,164.937744,-0.077726,0.158352,0.207887
9.787106,364.534363,215.390442,316.304871,459.533203
6.359785,153.914154,0.075509,0.094895,-0.025778
11.447529,352.693451,217.835159,318.511932,485.720947
12.403572,404.585052,213.523407,312.332733,479.852875
7.635980,153.921310,0.025681,0.040883,-0.013586
6.776829,154.728424,0.159249,0.128870,0.086502
7.272716,157.538864,0.077072,0.239303,0.059234
6.838558,159.300034,0.249436,0.259382,-0.123678
6.907280,152.287735,0.059010,0.085370,-0.096988
9.012468,382.566162,208.992203,299.506409,434.651031
7.174212,163.595337,0.150571,0.282929,0.174061
6.340016,145.286591,0.014346,0.314753,-0.098738
7.189411,169.290222,0.035828,0.204500,0.020939
7.060055,156.585251,0.225394,0.363838,0.237951
8.455009,371.277252,203.486023,292.537323,415.195435
10.374984,388.748260,214.975723,305.528137,447.468140
7.130218,152.834015,-0.246118,0.152391,0.276264
6.518332,158.889786,0.098952,-0.011589,0.061455
7.878893,353.761200,179.161484,265.227875,397.441650
7.031611,157.380325,0.293589,0.184621,-0.010521
11.554503,403.350037,220.527328,320.656982,482.220734
9.384772,388.546295,203.931503,294.280579,455.508575
10.418190,382.937927,216.990921,319.159821,474.798615
22.364948,312.489349,0.202045,0.029269,0.167331
9.256540,415.204346,192.159058,286.606384,443.696716
6.015217,153.990402,0.293435,-0.142073,0.105387
11.497807,378.613647,229.997894,331.401672,472.497070
9.999607,369.235901,219.731384,316.974701,453.698700
7.254086,169.739639,0.082828,-0.132387,0.283799
10.473589,377.485809,212.105286,305.909241,448.474762
11.355857,393.540741,217.056473,318.798309,470.111969
6.306747,158.845230,0.197077,0.203307,0.162205
10.737716,419.489594,216.241196,315.704620,472.014435
7.705014,180.305984,0.289602,0.125011,0.402335
10.707462,402.717407,213.589828,311.630096,472.730774
10.289111,403.260834,209.540726,302.164795,457.807434
6.484912,161.383774,0.205253,0.199010,0.212091
9.955062,375.301819,215.075485,306.992584,447.320801
7.733937,172.548492,0.256137,0.079201,0.409386
11.394513,402.800293,229.089554,328.539032,477.614899
9.185387,389.762329,205.477325,293.690521,438.254364
11.741516,393.044373,211.778824,312.846222,462.866455
17.857931,239.366089,0.050009,0.030454,0.118305
7.378542,162.406570,0.202555,0.037166,0.300171
10.816993,402.979858,216.313507,310.289215,458.310394
11.128213,365.183502,221.419739,315.817352,456.041412
11.185575,356.307343,220.866241,316.244019,470.753754
6.862859,168.933228,0.182425,0.205729,-0.245761
7.263109,155.655090,0.247487,0.068953,0.018983
7.752572,162.574966,0.275912,0.077575,0.082491
24.707130,546.408569,207.693039,310.100311,463.014221
11.945835,366.319061,226.363174,328.031830,471.337921
12.428707,377.069061,224.435349,325.034302,491.993805
6.879523,169.623032,0.052493,0.369197,0.116729
7.479241,346.623810,187.433823,264.260712,379.152252
10.711648,368.548218,209.466934,309.181427,466.263123
10.925817,366.278961,221.876389,321.810303,472.975250
6.714917,161.790192,0.148245,0.204684,-0.056050
7.205161,158.409821,0.240804,0.256771,0.044288
10.484175,380.499115,209.365768,306.811493,453.068237
6.637236,155.384415,0.127166,0.300364,0.108212
6.303718,159.824631,0.088792,0.083600,0.076724
6.579900,162.523270,-0.263370,0.233163,0.084630
12.441208,386.085266,220.071274,321.151642,475.832214
12.309937,397.831940,215.001663,320.644073,476.344604
6.719086,164.754501,-0.043593,0.269430,0.199024
10.079128,403.568909,212.450058,310.084717,473.737396
6.501373,162.956161,0.103629,0.177712,0.072785
9.920837,405.311676,213.620285,305.298798,452.256836
19.284332,261.777679,-0.019941,0.202641,0.078202
9.673141,404.744965,213.706024,312.695038,465.229156
6.697461,158.184967,0.274524,0.161551,0.223781
6.744743,142.666245,0.150944,0.020203,0.052844
6.810430,155.808182,0.142060,0.173014,-0.041757
21.854975,296.320557,0.176078,0.299645,0.209094
5.908963,325.399506,181.412140,263.292297,363.739258
6.755252,153.396133,0.264762,0.112103,0.367955
12.393788,417.460938,218.939438,325.316620,480.569550
10.683520,363.308411,215.684128,317.856415,464.298157
8.392417,385.675049,199.517609,284.277710,431.096802
7.160201,159.457520,0.056234,0.137663,0.063540
7.077072,162.121506,0.026917,0.062069,0.273316
12.753878,385.152893,235.615936,337.041779,477.902100
11.012407,406.550659,220.071869,317.958618,458.737549
11.139678,363.359924,226.348557,322.623383,466.482971
12.359100,392.771179,226.892654,325.804474,468.031860
10.514499,416.039276,214.578217,312.017426,467.609863
10.662848,391.090271,215.880814,320.063904,482.370880
6.875893,155.811356,0.277497,-0.012530,0.209106
10.054708,413.499359,198.757431,291.661743,451.986633
6.143105,138.556305,0.218634,0.025668,0.178874
6.814317,164.471817,-0.193711,-0.009851,-0.037016
