d1,k1,d2,k2,Kd,n,k3
0.016451951,9.386420367,0.007093055,0.09458741,569.9455056,0.847038823,0.196110118
0.015591774,1.714615189,0.000412889,3.394949616,2.759518649,1.959519595,0.00068786
0.018969771,0.085277279,0.033949496,0.449262325,0.109018449,3.710207823,0.324215171
0.01861656,0.872636418,0.256546838,0.000527837,0.149910942,1.542745408,0.002366828
0.019538406,1.132835021,0.000101352,0.000166277,0.644416522,1.172428546,4.113075359
0.018548845,1.409829737,0.00292303,0.001141563,1551.791374,0.800792296,7.484566763
0.017594211,2.260303027,0.006773815,0.515822165,134.6376946,3.55906924,0.244061907
0.018756329,0.072304723,0.001232632,0.001606325,18.0925591,0.585402171,0.012326317
0.017264956,0.651878514,0.118168031,2.208852249,2676.085593,0.673850287,7.777380258
0.018392976,6.985004121,0.000215857,0.134637695,0.206934706,1.884915697,0.012469049
0.018869985,0.245942358,0.005655878,0.634599901,7.342320421,2.263413229,0.00459727
0.019664343,1.851398894,0.035142555,0.000136197,0.552713408,2.042732086,0.00100964
0.01725668,4.176700491,0.617779273,0.062015464,0.656901116,2.761591636,0.151646829
0.016672712,1.266193268,0.701186157,0.041607025,3988.718003,0.841187898,0.634599901
0.01576618,2.878502869,0.000398872,0.000811272,0.220039171,1.129355742,0.089639619
0.018000377,0.315621563,0.899842843,0.000268638,83.9782203,1.037779541,0.099426007
0.015261893,1.830206106,0.001682028,0.00292303,483.2442183,0.696164426,0.001119868
0.018312021,0.183020611,0.00370823,0.00130567,0.130566972,0.520330435,0.126134338
0.01571034,0.682600602,0.104913973,0.454464537,0.204565944,1.279428921,0.095316188
0.015542511,4.668385018,0.030026174,2.08529099,0.111557815,0.56703119,0.768835332
0.017563868,3.988718003,0.00045099,0.006297478,0.646894313,1.761128282,0.000257533
0.016049913,7.2304723,0.279147237,0.000208529,2403.440269,0.598531881,7.542233958
0.018203471,0.115035884,0.002037824,0.001186224,2.339734973,2.684214566,0.052380141
0.018269925,1.437143053,4.373542321,3.408003248,26.25225818,1.750175989,0.024500033
0.018750934,0.43234788,0.002268994,0.679986045,0.924343376,0.8630404,0.000401945
0.018159883,9.90451772,0.00028238,0.375116931,0.152229913,0.829607016,0.008301693
0.019048153,5.655877571,0.010735773,0.001426155,536.0023165,0.692314754,0.000145937
0.019409553,2.595175106,0.017015054,0.015048735,1851.398894,0.945074522,0.339494962
0.015857155,0.06037169,6.321692009,9.314652699,0.45621196,1.729673818,0.014933674
0.015389752,0.108600877,0.026252258,0.826989509,3.292304533,3.323031572,0.04632691
0.0183683,7.427340485,0.002991117,0.016691678,1774.870482,1.215457965,0.000525815
0.019874773,1.001920663,0.093504677,0.002459424,0.375116931,1.103816227,0.000229527
0.016268399,0.106128819,0.011284959,3.823842537,72.58273574,3.854383172,0.00073142
0.017207107,2.615170448,5.634213934,0.000110281,0.176129999,0.883008971,2.759518649
0.015248727,1.102808234,0.203001852,4.290421892,0.801985778,0.952968214,0.222587104
0.018922534,4.57966102,0.00572137,0.731419722,0.131572967,2.753945483,0.000369403
0.016403117,3.765592613,8.759917176,0.048696753,279.1472369,0.81253395,0.315621563
0.018102507,0.233077312,0.084625257,1.754553708,0.300261742,2.058366668,0.823821901
0.017828589,9.067759646,0.000641948,0.005655878,1383.035518,0.593162789,0.062493282
0.017530215,2.304092976,1.065368864,0.266583542,1.923829884,1.307218223,0.047954938
0.015055481,3.447466066,0.00018232,0.000144267,0.527837207,0.742519078,0.56776245
0.019660572,0.320503911,4.273988343,8.62647431,820.6664263,0.516020398,0.001795423
0.015852593,0.777738026,4.356790396,6.27335696,964.1989777,1.067695309,0.02037824
0.017592524,6.747869371,0.000513846,0.000869294,2686.375182,0.670588664,0.000599101
0.01989384,0.068785991,0.001887267,0.001701505,12.27910369,2.348110008,3.408003248
0.015725412,7.398891635,0.229526764,0.000172783,126.1343383,0.652703644,1.774870482
0.015379425,1.761299993,0.058546374,0.002878503,205.3525026,1.260940324,6.985004121
0.01778931,2.516710919,0.224302097,0.122791037,538.0632535,1.00173437,0.103315782
0.018118137,1.242128901,0.002748949,0.003651741,0.411307536,2.088547565,1.199959716
0.016703117,0.979114164,0.109858416,0.003500795,21.75204034,1.224760789,0.119078494
0.016048374,6.44416522,0.000714771,0.000483244,5380.632535,0.866036659,0.001295687
0.015276535,1.246904905,0.05217951,0.000127106,7.175188804,2.049823938,0.417670049
0.015911991,0.475882791,0.147627297,0.144821597,2.330773115,1.701137787,0.001336083
0.019398389,3.868120546,1.865663579,0.003665782,68.78599123,2.247778692,0.000100192
0.019806279,8.62647431,0.23850638,0.097536388,7.717915156,2.630797127,0.193865264
0.018444197,0.856051712,2.717481941,0.165640551,1.172645298,1.341177328,0.017015054
0.017498304,0.59680621,0.29006812,0.000111558,2605.153593,0.686580125,2.286476103
0.019960722,0.053600232,0.000208529,0.042088812,4.704354057,1.153085907,9.56826805
0.016422003,9.86658057,0.00971628,0.000392796,0.172120791,1.77953462,2.243020967
0.015898264,8.112723354,3.072557365,0.155179137,84.62525688,3.038796364,0.018728371
0.015045378,0.457966102,0.001872837,0.000780728,587.7148532,0.549617559,0.005484874
0.019800582,6.722023091,0.059224309,0.00022603,924.343376,1.798133331,0.017613
0.019290798,0.264545269,0.964198978,0.099808302,0.252638771,0.856485068,0.005118782
0.018853706,0.452723807,0.695824955,0.869293969,0.257533265,1.541676428,6.90504744
0.016425153,0.439035866,0.309623085,0.120920518,88.2741071,0.774050716,0.000149337
0.015074261,0.200678109,0.000104112,0.181621253,20.0678109,1.821971005,0.000118168
0.016332486,1.662774415,1.675585782,1.285780002,4.390358656,2.037076274,0.000163117
0.019861436,2.991116533,3.242151713,1.069465223,1.124173474,1.455485029,1.409829737
0.018241915,0.637039947,1.437143053,0.172120791,1.181680313,1.297289083,0.000303739
0.015020871,0.4632691,0.000312009,0.000251671,5.360023165,0.54544287,0.000100577
0.017182374,0.193122704,0.01575796,0.00013672,14.64985524,0.991373087,0.002077304
0.015549965,4.340102636,0.000388299,0.021013578,942.2511294,1.48916127,0.335608795
0.018175563,0.109018449,0.352776787,0.078674381,0.190912047,0.571767293,0.119995972
0.019545902,0.454464537,0.128085509,4.390358656,13.10690042,3.141601082,0.170150541
0.018069554,0.339494962,0.001453784,0.144266889,11.37190789,1.825763629,0.000266584
0.015666711,0.102525839,0.132078867,0.0131069,0.513846418,1.752603931,0.949510999
0.01860942,1.747833262,0.161250103,0.000762957,3541.332187,0.521413557,0.030490649
0.015810086,1.631172909,1.788545529,1.909120466,82.06664263,1.243580586,0.4851023
0.01602377,0.234873129,0.000352777,0.001476273,0.170804772,0.581358502,0.001880038
0.015460753,1.968641639,0.011862239,6.249328199,5.591135276,1.090129857,0.001470618
0.015251652,0.097536388,0.000472244,7.202777512,0.392795647,1.309031669,0.000378007
0.016602512,0.427398834,0.132586712,0.040349052,140.9829737,1.467641902,0.014316384
0.017656747,2.394234402,7.484566763,0.005612633,1.073577333,2.038488757,0.00103713
0.018516855,9.791141644,0.183724328,0.498310456,142.6154796,3.631334928,0.808164929
0.016318397,0.159404288,2.03001852,0.001132835,17.41138559,0.578143688,5.238014142
0.019465472,3.722488231,0.001377738,0.050796447,12.75949051,2.982454234,0.019914374
0.016624816,6.79986045,0.136720404,1.916461063,0.143714305,2.066945,5.655877571
0.015807054,0.498310456,0.008759917,0.036940264,0.967906337,1.746540382,0.000331767
0.019954981,0.166916781,0.801985778,5.527134079,486.9675252,0.549236725,0.011155782
0.01739291,0.346072162,1.361967256,0.174113856,3.665782273,0.751320306,0.01727826
0.01523119,0.072861817,0.015940429,0.106946522,2.045659435,0.749240089,0.002330773
0.016744814,0.04632691,0.525815439,0.215030468,1.594042881,2.07268374,0.000187284
0.017777373,4.492623247,0.296824674,0.00572137,0.295687751,1.106880902,0.000627336
0.018727573,0.222587104,0.018443075,2.52638771,179.5422513,0.90909313,1.741138559
0.015791903,8.726364175,0.002150305,0.000953162,0.253610171,1.892771164,0.286747738
0.016637575,8.430111782,0.529866749,0.001682028,42.73988343,1.614961755,0.013883533
0.016079182,1.522299133,0.395822065,0.000259518,0.134637695,3.596266662,4.019450334
0.017172491,1.115578151,0.001612501,0.000401945,0.150487352,0.938546416,0.641948222
0.017832009,1.218521884,0.00028785,0.003156216,158.7937238,0.567817808,0.001190785
0.015067035,3.823842537,0.561263327,0.000608368,0.367987726,3.311534756,0.003447466
0.015662205,0.344746607,0.714770577,0.049071952,7.120328,0.943765278,0.000239423
0.01618127,2.52638771,0.067998605,0.139369155,79.58538716,0.634855429,6.722023091
0.016056071,0.554838599,3.722488231,2.366827827,1195.363526,0.849979529,0.610707612
0.018895335,1.426154796,0.000376559,2.166872377,967.9063372,0.844108291,0.088613522
0.016470894,0.363775405,0.000429042,0.037224882,2.575332647,1.247897985,0.000748457
0.017991748,1.137190789,0.000408163,0.002117548,5.380632535,3.754185662,0.005422089
0.017700825,3.037386092,0.126619327,0.12469049,0.271748194,0.551143537,0.007629569
0.017570606,1.768072218,0.001880038,0.000153993,1009.640276,0.71276579,0.042576177
0.018296223,9.314652699,0.000190181,0.025556419,5217.951042,0.629596751,0.000183021
0.016799498,9.56826805,0.000355495,0.474060023,998.0830188,0.887303768,0.414476584
0.017648283,4.192759967,0.001727826,0.720277751,0.122320712,0.950988632,0.000254585
0.015065591,0.474060023,0.191646106,0.000801986,14.15250553,0.704904637,8.112723354
0.015376476,4.241309839,0.0047406,7.928055225,8.019857778,0.653156221,0.051780551
0.019832888,4.373542321,0.043735423,3.292304533,0.580987337,2.937319093,0.002878503
0.019585303,0.03596113,0.326713189,0.012808551,4.722442369,3.318428064,0.059224309
0.017843982,1.999094542,3.927956474,0.903302752,1.256512076,0.674785089,0.000245942
0.016134787,4.306918629,0.419275997,0.011459526,709.3055097,0.585808081,0.018302061
0.017458079,2.142068394,0.000257533,0.207730373,0.565587757,1.026333784,0.00020145
0.015101751,2.738419634,0.134637695,7.989139417,6.370399471,2.54823795,0.040504195
0.018290961,0.208529099,2.63531985,0.018162125,1.734469497,2.264982651,0.040816272
0.016899675,0.050214985,0.039129113,0.000144822,0.637039947,2.27757727,0.003267132
0.015802507,0.057654516,0.144266889,0.427398834,0.459726989,2.594578166,0.109018449
0.017990023,0.252638771,0.038681205,0.064194822,16.24925048,3.207612799,0.057213695
0.017945225,4.113075359,0.082066643,3.356087949,419.2759967,1.204554776,0.013830355
0.018247163,9.137625049,0.000554839,0.889542427,1656.405511,0.507507131,0.003330428
0.015675728,0.059680621,0.00906776,0.000379461,16.56405511,0.644610682,0.519796479
0.016478793,0.051979648,0.000204566,1.115578151,5.505963567,2.175730702,0.070388223
0.018646933,0.040504195,0.077475907,1.999094542,5.945202704,1.065477406,0.316835133
0.018350694,5.968062098,0.018728371,4.75882791,3.421107072,3.806592141,2.979659697
0.01509596,5.877148532,0.000768835,0.190912047,226.0303027,3.659128296,3.060788587
0.019523423,2.823796095,2.6556245,1.837243276,9.86658057,3.63385285,0.045621196
0.016886716,1.181680313,0.000786744,0.000105722,78.07284401,0.971644183,0.000833361
0.01750166,5.278372068,1.35675053,0.071751888,199.9094542,0.777276606,0.043903587
0.017814917,1.983809657,0.0131069,1.186223891,40.65993375,0.935947816,0.120920518
0.018083422,4.81393254,0.000820666,0.002956878,0.135675053,0.932709683,9.753638756
0.019947328,2.923030408,0.003096231,0.000342111,1.115578151,3.08121638,0.000622539
0.016382681,0.569945506,0.92789749,0.000709306,0.27279307,0.678067123,1.053173687
0.01520638,9.641989777,0.058322124,0.002889571,9067.759646,1.006606626,0.000107771
0.01719556,0.06321692,0.02260303,0.019611012,0.667062715,3.243384356,2.802205622
0.01863442,0.661962417,3.67987726,4.14476584,256.5468383,0.981118975,0.009568268
0.018522183,0.210943752,0.896396186,0.004441197,2.665835416,0.994125571,0.00424131
0.019478542,0.394305953,1.872837083,0.362382041,0.258523484,3.275011562,0.008861352
0.015174334,2.934269504,0.000175455,0.005591135,2.375928315,0.772442795,0.004945004
0.018467204,4.065993375,0.000183724,0.003527768,388.2993528,1.593832477,0.001102808
0.018860939,0.329230453,0.000109438,0.81439169,1.377738094,2.643592852,0.000215857
0.015407472,0.839782203,0.001539927,9.753638756,0.849506423,0.561555298,1.098584161
0.015029516,0.865964323,2.234429552,0.000196864,12.32631703,1.93522324,1.600171999
0.019443085,3.67987726,0.02243021,0.005463865,19.01807986,1.208736687,0.006037169
0.017414605,0.23850638,0.550596357,0.000823822,25.16710919,3.613758257,0.002956878
0.016562758,0.196110118,0.008333613,0.78072844,0.119078494,1.865419366,9.980830188
0.016085351,5.118782384,0.000481393,0.043903587,32.92304533,2.171211098,0.043401026
0.016701515,9.03302752,0.052783721,0.000274895,6.44416522,0.687532587,0.986658057
0.016475633,0.269670434,0.004323479,0.000521795,34.87385841,3.297791069,2.780780227
0.01612396,1.372460961,0.001931227,0.000343426,27.279307,1.762349426,0.002585235
0.019575915,1.600171999,0.000129072,0.002696704,19.16461063,1.407856217,0.001528152
0.018804954,0.041447658,0.0017613,0.000104914,1.213854595,1.304502763,0.000920803
0.017931464,0.830169296,0.001372461,0.583221242,0.273841963,1.326385371,0.000322973
0.015036724,0.180232594,0.045446454,0.000133608,1.053173687,3.601255603,0.061070761
0.017100187,0.23577622,0.00099426,0.000239423,100.9640276,0.645952506,0.008269895
