d1,k1,d2,k2,Kd,n,k3,,,,
0.018367762,0.314546159,0.751685083,0.001544782,20.07890043,0.827361583,0.000912726,,,0.223993924,0.296697126
0.017966137,0.196061153,0.00788763,0.013641264,32.97272726,0.50022402,0.000330725,,,0.112600268,0.158847665
0.017925709,0.118955715,0.00810425,0.005133567,22.07519573,1.084092896,0.002484252,,,0.088889088,0.115730265
0.017763665,0.079262495,0.047719801,0.000338091,43.81761959,0.803739366,0.000294954,,,0.04461066,0.070640602
0.018854928,0.073101708,0.769821904,0.006828303,37.47202361,1.553621448,0.000630887,,,0.049351345,0.072131478
0.018799036,0.045694895,4.493769951,0.008200578,30.80209647,1.604066019,0.001359215,,,0.034020193,0.045307978
0.01744792,0.176761393,4.749130025,0.030913587,66.29706178,2.188274445,0.00041832,,,0.078768053,0.175347322
0.018631375,0.217468163,0.043473299,0.011090008,50.44245914,0.56740677,0.001945214,,,0.114082278,0.174620153
0.018982123,0.067996456,3.166579642,0.000283335,28.8273683,0.645151958,0.000834866,,,0.041890714,0.059589546
0.018592697,0.47610301,0.008695713,0.000593778,10.00460228,1.456571349,0.004453798,,,0.443465425,0.47488157
0.017847308,0.168672034,0.053181891,0.003291433,28.5633032,1.518758164,0.001144772,,,0.12740339,0.167033391
0.01765234,0.427412586,1.278365807,0.000484061,156.5934561,1.743957768,0.000210744,,,0.067542083,0.389948016
0.017938548,0.091222243,0.066700628,0.029414938,16.79602578,1.923423415,0.000541695,,,0.083968386,0.091128339
0.017297141,0.067707503,0.306101794,0.000968816,24.26996778,0.513850532,0.000181496,,,0.041587346,0.056783407
0.017655115,0.101038848,0.740366589,0.000591596,42.1951813,0.623000034,0.00538779,,,0.056037284,0.084812827
0.018759682,0.156225654,0.015079819,0.004116249,55.97027676,1.281044619,0.000508183,,,0.081589014,0.149085443
0.017278424,0.262657328,0.232445105,0.010455717,64.78923687,0.784531161,0.000221017,,,0.127373715,0.223645647
0.018312994,0.058497568,0.141042528,0.00131138,10.68993608,1.630142611,0.00375791,,,0.055182176,0.058415321
0.018467144,0.18550185,0.024425082,0.000259378,12.43136454,2.529311672,0.001205648,,,0.182104033,0.18549162
0.018829263,0.146766376,0.031034875,0.003546151,42.15636932,0.58181998,0.000629368,,,0.080891748,0.12096447
0.018795425,0.396435987,0.10178505,0.012069806,40.0020981,1.689618379,0.00059687,,,0.263571298,0.392393811
0.018035609,0.338643019,0.867285178,0.000373076,2268.695607,0.545312552,0.004408416,,,0.041050903,0.11047579
0.017687518,0.390293777,4.562469311,0.002125926,17.71685453,0.914139421,0.000530392,,,0.293921416,0.375298361
0.017681032,0.152934309,0.127658621,0.000685442,18.448944,0.630674741,0.000749518,,,0.103662166,0.137623472
0.017771733,0.103801061,0.008564777,0.001293402,32.94239828,2.805468707,0.000797982,,,0.087523424,0.103770856
0.018530138,0.329163921,0.015014592,0.000500366,64.90859042,0.838554871,0.003157408,,,0.159157649,0.285012344
0.018067132,0.351874254,0.554949576,0.009713624,370.213792,0.536749718,0.003474821,,,0.096251175,0.198609095
0.01827019,0.283180769,1.074857554,0.043693849,22.38202688,2.685779873,0.000368163,,,0.264466193,0.283139461
0.018873706,0.104837645,0.038254782,0.00451302,188.0638343,0.522203974,0.002680175,,,0.037230507,0.067828897
0.018608614,0.362007353,0.960291669,0.000348516,101.7032033,1.141571697,0.000366613,,,0.128074364,0.319838799
0.018015777,0.068968571,0.021845346,0.000392084,10.0970939,2.150699133,0.001979499,,,0.06750705,0.068958019
0.017992511,0.066847988,0.00760229,0.000937246,47.68888782,1.355426652,0.0012358,,,0.038584315,0.064755477
0.017674549,0.119973211,0.737963458,0.009554049,86.49580768,0.503370861,0.000180515,,,0.054480126,0.087113049
0.017212169,0.234128038,0.011108935,0.000569691,28.3537938,1.808125956,0.000494591,,,0.186132158,0.233192694
0.01809397,0.108779267,1.707336343,0.000697532,87.94048944,2.149415004,0.001355943,,,0.033220231,0.107053158
0.01908383,0.480175389,0.27347531,0.000265659,23.1998952,1.115288507,0.000985302,,,0.35659819,0.467745135
0.019051863,0.125548671,0.015410231,0.002356729,19.98672527,1.851289503,0.000909432,,,0.11103916,0.125318049
0.017660049,0.104096177,0.246186895,0.000684811,11.53842714,2.736787031,0.000965324,,,0.102966012,0.104094082
0.018533051,0.069954584,0.032060445,0.001803058,32.01591047,1.170220276,0.000186147,,,0.047282853,0.067759109
0.017907562,0.149287866,4.229162321,0.00179148,69.738949,2.571197287,0.00033413,,,0.060387105,0.148700274
0.017539262,0.125905619,4.703034851,0.001167809,12.65063364,0.543524197,0.000229844,,,0.088101461,0.112140083
0.018510732,0.429236645,0.189394463,0.001862077,13.24631603,1.1853439,0.00130623,,,0.367856696,0.424612866
0.018928167,0.198864151,0.634079414,0.000465281,30.4358013,1.259423579,0.000720734,,,0.139517828,0.194315855
