"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
37.672623,24.040051,14.391238,10.454405,0.150034,3.438674
10.280681,7.285190,3.639050,1.900770,0.105534,1.647603
4.701945,3.358402,1.941137,1.006307,0.222577,-0.354133
25.564711,17.158840,8.398355,9.172579,0.240397,1.615668
6.672339,4.800149,2.497520,4.815630,0.122937,1.219542
21.637331,14.478412,5.420617,6.237951,0.032593,1.393206
5.282652,3.623526,2.427514,2.108227,0.295870,0.887377
9.562409,6.413740,2.803033,1.878907,0.126165,0.417847
17.723566,12.223603,4.824929,6.393308,0.101463,-0.228745
9.033195,5.782178,3.325321,0.088216,0.275257,0.117812
12.280348,8.611299,2.699441,14.537935,0.642092,31.840931
9.636116,6.692549,4.044208,4.380669,0.186477,3.689114
32.725231,19.570633,13.867196,27.110790,0.184401,16.867846
8.127230,5.335152,2.665442,3.838740,0.086971,0.340298
38.133915,23.828966,27.111128,24.390730,0.276084,6.474161
4.629240,3.328745,1.726899,2.222511,0.136173,0.700180
34.536388,23.236870,12.051450,5.476950,0.227519,1.813993
15.859909,10.175613,6.286709,4.378657,0.192727,3.277670
7.565457,5.367583,3.149251,3.294020,0.219915,0.572262
6.811420,4.569500,2.315438,1.809565,0.211819,0.044297
35.407948,20.731956,61.704342,75.211754,0.551324,25.806347
4.844969,3.216142,1.805796,1.461520,0.173489,-0.474312
6.570206,4.610054,4.732678,5.095719,0.157724,6.940962
21.786224,14.165616,6.041913,6.269519,0.095286,-0.057686
84.829094,44.658127,80.257866,87.143372,0.165080,17.619465
11.734708,7.942102,4.329346,0.310797,0.189278,1.442280
26.341122,17.380791,11.271355,10.873155,0.130308,2.216575
17.274010,11.475523,10.361387,10.063540,0.256664,0.374074
6.342855,3.824220,4.299752,6.718236,0.397120,5.107565
81.108719,34.161308,220.296356,192.134003,0.843553,65.317902
7.767556,5.291461,2.682381,1.471854,0.220247,1.451971
10.325920,6.689636,3.649429,4.088957,0.171307,1.319245
18.936377,11.362468,64.000023,58.475548,0.662008,31.885818
9.602280,6.220696,3.408223,5.733593,0.222890,1.333111
8.771678,6.115156,2.786065,3.769509,0.280087,0.110248
34.974976,22.398981,11.805297,24.221371,0.311432,32.401981
25.781105,15.902940,9.757917,21.714788,0.286194,20.415596
9.765400,6.637942,6.732690,13.272077,0.307386,10.906109
14.774689,9.811995,4.126359,5.006105,0.265097,0.499248
56.987511,28.060078,36.261059,44.673985,0.747819,23.741417
74.781685,30.028316,234.865234,224.218857,1.797199,49.124340
8.343200,5.849263,2.998314,1.611522,0.206183,0.425475
11.411246,7.713125,3.791871,3.051601,0.405970,1.943265
27.727432,18.379713,18.598829,18.945490,0.102937,4.826458
65.836952,31.873159,138.993515,140.690002,0.906462,58.329632
8.090078,5.403371,3.787085,2.510153,0.050268,0.496676
25.925388,16.803865,14.974133,28.692535,0.393234,21.986078
15.304513,10.170753,9.925775,13.189720,0.158798,2.421656
19.174414,12.908844,6.855380,8.010850,0.113823,-0.016117
26.265739,17.407667,8.078992,11.689217,0.239602,1.942832
19.392685,12.861232,6.890024,4.711492,0.703040,4.456154
33.784309,19.661287,138.854218,150.499176,0.537819,40.253719
19.129168,12.778233,23.029543,24.791122,0.222618,6.298542
37.793896,22.582935,23.562357,24.430918,0.138337,4.602200
13.356742,9.284982,8.642485,26.022442,0.385246,35.841381
31.634296,18.572231,46.421154,62.856674,0.992395,16.014418
38.282127,20.904203,92.982010,92.452423,0.922946,16.352121
17.598759,11.525107,6.095738,6.016202,0.259727,0.646243
5.244874,3.939182,1.004062,6.156192,0.296062,3.187044
62.989822,24.842661,72.371010,78.218712,0.782773,18.090891
82.170181,25.964479,124.470558,184.444489,1.522450,75.086449
111.126625,38.049545,273.447815,284.520050,1.948825,77.411690
7.802904,4.876275,2.433849,3.334931,0.277071,2.151316
20.581596,14.017300,5.892297,8.469876,0.029400,0.821405
6.893950,3.806097,2.307012,6.299277,0.327175,0.455313
13.689976,9.489911,4.975094,6.310993,0.076977,1.940163
16.438263,11.032861,5.182018,5.353947,0.305449,0.494015
20.894466,13.678155,6.371857,20.209579,0.358105,20.390476
102.612846,35.145081,311.275177,315.007233,2.746871,88.852661
10.625236,6.923851,3.408059,3.500394,0.314664,0.359361
5.598960,3.731181,2.669410,3.384568,0.227738,0.602274
8.194272,5.357504,3.383041,6.195463,0.221621,2.440965
35.889538,23.802208,29.090454,23.900867,0.342135,9.115129
22.399384,14.692632,22.893059,19.247278,0.316196,4.932792
8.452753,5.864093,4.144265,5.894682,0.013176,1.202884
15.580972,10.709634,6.023971,7.817977,0.193634,2.714729
22.749872,14.760494,5.672028,14.798854,0.427332,10.907829
99.972855,49.611118,72.243668,84.472893,1.458309,36.738964
93.350739,23.805302,164.991867,204.511658,2.246541,56.622940
81.694763,25.623131,218.333267,250.461960,2.246275,54.471626
62.556915,20.057243,147.721283,126.201752,1.457363,28.419151
8.008465,5.533578,3.032225,3.720104,0.165991,1.325545
4.651397,3.414468,1.732098,3.193122,0.403563,0.403313
12.910743,8.993020,5.373590,8.552681,0.272501,1.530555
49.867718,26.388819,64.081474,97.110641,0.804563,53.007954
12.784787,8.459414,11.932454,11.555457,0.318031,5.557074
15.149794,10.745065,6.282111,4.685862,0.338335,1.187810
9.565052,6.376157,5.860085,7.637607,0.440646,3.615907
7.237722,5.084788,2.826522,11.630092,0.319315,6.913178
16.356588,10.660097,11.130440,12.343028,0.454741,3.781206
5.862851,4.217500,2.181668,7.068826,0.300173,-0.473598
12.567963,8.442035,4.560194,3.734594,0.116960,1.141942
12.444323,8.339713,4.351673,11.732679,0.617390,14.016322
30.539663,19.606335,10.271067,9.692668,0.193358,5.912939
25.467920,16.446379,21.040209,19.600319,0.313156,5.401703
19.166815,12.786433,6.664608,3.829182,0.282426,1.090149
15.785651,11.001229,7.894660,11.511603,0.327250,2.117604
12.158335,8.294264,15.020269,17.653698,0.497589,2.748524
32.697803,19.955227,11.031750,30.017984,0.386108,26.448423
6.661417,4.342319,6.737771,10.905004,0.266516,1.982959
7.834358,5.128593,4.789617,7.315045,0.068890,1.582970
95.921852,41.748093,36.189991,68.613838,0.704751,31.603247
16.186939,10.605824,5.502935,5.974025,0.468020,1.310677
11.140949,7.681994,4.080079,7.728231,0.205817,4.384369
11.142832,7.513282,3.814471,6.342224,0.439503,-0.033763
16.115309,11.107086,5.822068,5.865739,0.137365,1.093215
6.845399,5.202508,2.963720,3.936137,0.124976,1.139222
6.510852,4.609227,2.590967,3.796307,0.197777,0.527310
10.802052,7.193909,3.703033,14.757836,0.057970,15.017843
8.932188,6.285884,3.336025,5.070967,0.102987,1.089743
10.307810,7.209327,3.653375,7.776364,0.078774,-0.501875
26.813040,18.042124,10.862397,14.417168,0.176391,2.583356
6.016705,4.192057,2.106002,4.210297,0.031823,1.888473
8.613864,6.102098,2.299577,4.618524,0.137163,0.756688
18.475918,11.718742,21.934948,24.183870,0.311889,4.209631
16.957256,11.389821,5.756145,7.489551,0.054378,2.012336
8.216100,5.583215,3.068982,4.630130,0.193928,1.486463
12.517100,8.201502,4.890076,6.746541,0.124007,0.674889
14.483846,9.390785,6.149270,8.735756,0.168154,2.157068
57.545815,30.000101,75.099167,74.021164,0.308104,13.870399
6.201716,4.269002,2.806764,-1.425827,0.352278,0.321258
4.275551,3.009893,2.278920,3.033546,0.320669,0.427515
12.142732,8.513426,6.133349,8.931923,0.063666,1.332015
5.253048,3.567029,1.461082,1.423302,0.181675,1.094810
16.235277,10.925097,5.518165,10.612639,0.285012,11.391967
7.489432,5.313482,2.475440,4.328616,0.103343,1.150607
14.722108,10.244451,5.009101,5.727049,0.307224,1.539511
19.000179,12.629164,13.381617,11.524570,0.378275,8.183303
