"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
5.895342,4.325696,2.259393,5.428938,-0.025117,5.484159
24.778843,16.501499,5.626471,15.131060,0.073364,4.400858
24.890707,16.572514,6.008915,11.547639,0.297642,5.332924
18.694525,12.489651,10.843311,29.099621,0.272568,32.610043
29.120182,19.723244,11.862703,20.534060,0.097916,5.533081
35.870979,20.032610,24.837288,83.383087,0.286382,19.527012
17.443092,11.741202,4.672299,12.914305,0.056379,11.216949
18.898998,13.188643,8.836785,29.916882,0.144038,12.180931
18.896000,12.681367,9.857822,29.359970,0.362401,36.054050
32.153046,21.132521,11.182066,32.406776,0.364619,14.574958
3.994662,3.026582,1.491261,29.040977,0.481240,39.530579
26.178890,17.892500,6.596399,21.119566,0.175753,4.364865
17.733788,12.185380,7.132843,17.407927,0.059294,7.430839
35.414940,23.432076,10.972574,21.618546,0.276419,35.061359
18.109581,11.194690,10.711333,24.857367,0.286807,8.367231
15.953248,10.347787,11.778385,24.245649,0.425707,14.243935
22.425991,14.478323,6.353701,13.120534,0.073815,10.818714
22.937416,15.272049,6.265262,13.003479,0.146258,8.854827
10.568035,7.473296,4.736328,10.271831,0.194894,6.458267
30.381657,18.790691,11.773559,30.957138,0.501354,29.623419
31.969282,21.159203,7.565001,20.366627,0.283237,8.256594
25.519863,16.704912,8.961940,22.079109,0.105574,9.436767
19.888783,13.612740,9.072118,15.630603,0.340024,5.462058
16.267199,10.869718,6.556641,10.179287,0.059541,4.969760
19.408640,12.675705,5.758185,16.242315,-0.056539,3.034038
19.591454,13.313195,12.114601,18.326319,0.160682,7.620337
22.373428,14.786796,6.367144,12.247425,-0.005523,17.973902
17.188221,11.383970,5.106876,15.438504,0.092237,10.658073
11.969114,8.310304,3.413277,22.694407,0.132607,2.184566
46.021454,28.576590,13.897716,48.902111,0.543296,55.681812
6.294863,4.467486,1.281178,21.135637,0.345354,14.165986
6.036523,3.576843,2.812996,6.156760,0.096242,7.093619
13.874888,9.226237,4.985074,11.608780,-0.206595,2.666479
31.706970,20.777582,12.065657,24.872902,0.083485,8.048368
25.385941,16.857346,5.474087,15.652150,0.240768,19.361073
11.819382,8.360894,10.954566,31.456846,0.007599,10.392165
40.036201,23.074572,43.379642,86.522156,0.926029,109.707375
18.236959,12.558352,13.795897,31.365047,-0.096532,13.116095
20.994314,14.298079,5.570456,11.175782,-0.110225,5.289926
12.999743,8.925557,4.397988,14.601874,0.158027,15.515372
12.635475,8.727047,3.116266,13.252709,-0.115157,1.474675
22.755573,14.912983,13.964871,40.481174,0.052479,17.124559
33.658916,20.530506,12.120450,29.073191,0.295161,26.548847
39.816383,25.063063,31.767279,78.995987,0.621240,26.480892
26.424540,17.804556,15.966460,40.416206,-0.005035,15.827576
15.775249,10.652395,10.464247,29.300940,0.254014,5.897105
17.596811,12.256748,3.063908,19.153112,0.017911,13.051565
11.744314,7.637793,4.785647,15.181545,0.155223,5.152291
20.296806,13.519196,6.262014,15.491194,-0.118519,9.881715
