"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
17.716322,11.765422,6.358945,5.429112,0.230424,4.957581
10.360425,4.973922,4.967363,-1.470849,0.123949,0.990776
10.156142,5.088636,4.940266,1.015096,-0.028691,0.836440
5.061915,3.592563,2.173507,3.066056,0.177024,2.190926
9.727689,4.762210,2.870507,1.449545,0.301216,0.775408
12.360516,5.989406,3.465549,3.650636,0.211801,0.571915
7.158471,4.830667,2.997950,2.214983,0.151533,2.849513
11.421419,7.764544,6.164112,2.779197,0.025444,1.057204
18.072205,10.795157,28.056662,30.352982,0.303019,9.542636
4.207813,3.056806,1.602002,2.393634,-0.016815,0.403549
26.924322,18.052460,28.473804,31.581429,0.151506,7.206469
5.859041,4.012159,2.009906,2.511725,0.017893,1.376035
5.059863,3.606416,3.342851,2.521164,-0.065658,-0.081880
27.544348,18.502851,9.170037,10.094288,-0.027993,2.367242
10.956542,7.546708,4.609248,3.612310,0.098613,3.755194
60.600849,31.122505,102.830009,152.771942,1.159320,46.155518
33.715836,18.610460,21.399080,28.295641,0.426213,21.520317
165.631760,57.344856,242.233383,286.137451,2.423851,105.740578
38.804337,15.027639,12.844988,53.747757,0.320456,6.406454
6.030041,3.888993,2.762255,5.757279,0.214174,4.024189
51.231518,22.396391,83.439613,84.510612,1.120689,23.195946
85.350273,36.399334,63.718155,72.681862,0.140329,13.209465
12.431081,8.555442,5.899285,6.646768,0.179576,1.747320
9.963650,6.878251,3.843260,2.169271,-0.076726,1.262893
7.056337,5.159370,2.552234,0.422514,0.064788,1.683782
5.186257,3.606534,2.546055,4.192652,-0.026247,1.422155
15.126392,9.898605,6.165678,4.495600,0.100739,1.193172
18.347528,12.306115,21.579870,16.560890,0.275066,3.501190
15.982227,10.819510,6.946213,2.959570,0.166053,2.917176
30.642630,14.008482,13.206688,8.316612,0.099386,3.824593
32.036343,14.078126,13.343231,11.436521,0.139756,3.231894
7.216710,5.352714,3.024094,2.974153,0.135803,1.089157
13.894245,9.747027,4.483928,-0.494120,0.123736,0.536899
41.109489,22.955505,59.290054,58.695034,0.432245,21.167179
43.779137,21.036541,17.981947,46.071316,0.315281,14.512945
37.032974,14.765618,16.212072,32.741421,0.147826,7.757060
21.303865,13.378340,55.181049,73.019424,0.348003,12.327819
11.933765,8.513482,6.686616,15.861528,0.100536,2.369339
40.272118,15.262070,55.940422,69.962814,0.718708,16.479393
45.524673,15.915286,62.037315,78.723755,0.568324,19.622047
71.988098,28.458235,130.685013,158.442413,0.819144,32.664642
11.040918,7.735371,4.998504,8.157440,0.236666,5.677831
4.335492,3.172848,2.144003,3.201981,0.013525,1.295950
137.546982,35.024071,271.914886,290.614349,2.039900,157.449890
124.451157,44.090076,148.523270,150.063889,1.038656,65.260887
51.362007,21.309401,37.658051,29.583540,0.342429,10.892636
56.879261,21.405630,38.178387,28.972689,0.216584,10.216175
8.297400,5.067677,4.230323,4.307723,0.139630,3.442062
8.581928,5.329258,3.371315,-0.201511,0.017911,0.968629
13.460073,8.889014,3.834830,3.331943,0.255309,4.378901
6.156095,4.333405,2.122746,0.749582,0.081653,0.362780
29.454191,18.933546,40.506832,43.599632,0.350411,15.358774
37.636917,19.086817,164.024933,180.113144,1.621685,54.249207
17.613283,11.513094,5.103677,4.374529,0.098156,2.723477
14.814750,9.680698,5.228546,5.726270,0.276236,0.667720
12.096834,6.332325,3.988410,3.999011,0.141912,0.728901
20.001732,13.267526,12.674517,7.614625,0.245841,2.875520
10.262378,7.173917,4.006170,1.691863,0.073749,-0.012381
29.428097,18.966337,21.856657,12.171785,0.225919,10.328664
23.078465,15.324546,6.374549,9.343163,0.163216,1.761486
62.676327,32.549412,70.928383,75.578979,0.535554,34.963444
32.574421,13.627451,17.952862,16.265114,0.171534,3.911757
45.049026,22.012453,21.968271,18.520157,0.139120,4.258656
29.074039,11.178819,21.653049,22.532991,0.272385,6.434294
36.488247,15.664239,28.163080,28.245016,0.344987,7.887470
17.303782,11.926846,7.672397,4.773078,0.025825,0.699872
7.848341,5.377752,15.968741,6.008175,0.205642,11.205870
20.277777,13.228314,8.170695,8.695907,0.148467,4.050533
85.343849,47.364037,193.107651,205.818497,2.543084,51.534893
14.728456,9.848199,4.763333,3.948812,0.186529,0.930780
11.159329,7.908145,4.247315,-0.634071,0.180382,0.584621
12.430357,8.587059,6.067485,8.422737,0.007258,2.085843
16.998032,11.711528,4.127805,11.932778,0.191993,7.191112
36.028885,18.129110,67.252159,59.989597,0.586219,16.263617
57.683247,21.101402,122.949608,128.878098,0.949799,34.555065
110.936111,35.581913,148.736816,141.924866,1.324204,36.404118
100.378105,35.664509,122.553062,115.424522,1.056929,28.911369
7.777843,5.597939,2.864115,-0.570380,-0.049432,-0.198486
5.838925,3.972530,2.533619,1.223673,0.184266,-0.087458
8.512188,6.138830,3.548978,-0.792957,-0.000086,-0.927233
6.286702,4.197758,2.802622,2.003499,-0.041138,1.289639
7.048527,4.947473,3.141379,4.357120,-0.069999,-0.045242
64.719482,38.474602,66.001122,101.442841,1.207148,62.290096
15.018055,10.004403,6.935576,4.598150,-0.127118,-0.565364
25.208332,16.704872,16.752136,14.940417,0.317775,4.373073
10.147656,7.085671,4.580052,4.393011,0.129521,1.491236
6.105146,4.004174,2.950423,6.616409,-0.089061,0.089153
35.758083,20.040836,46.655121,40.349400,0.167902,13.017900
62.193756,27.758614,70.351402,91.916435,0.452718,15.102220
52.752129,18.979916,44.557594,58.562946,0.290517,9.304214
12.599468,8.411203,4.406450,1.741970,0.069101,3.561928
13.332564,9.164736,6.219081,6.245711,0.068695,0.869523
4.661819,3.820771,2.167370,2.927199,-0.107319,0.566581
5.740672,4.047504,2.515581,4.577028,0.124109,0.873855
5.924439,4.036735,2.428594,2.833504,0.052619,0.049516
20.988605,14.479382,4.909320,5.457063,0.218380,3.227467
11.134186,8.054045,3.911217,0.736700,0.102261,0.906523
24.621498,16.112848,12.741254,10.456148,0.350342,13.870606
14.505980,9.750009,4.463142,2.469443,0.173547,2.006794
7.461445,5.456129,3.917880,4.545096,0.029329,0.657443
17.220230,11.318752,5.090935,4.689534,0.125169,1.135334
23.718918,15.084506,9.297112,10.343221,0.170004,2.522708
14.254155,9.645195,7.928025,8.593811,0.058167,4.555201
21.836817,14.160201,11.840517,5.375112,0.172151,1.809899
10.260423,4.807484,4.337649,3.771208,0.106996,1.971959
19.855574,10.611682,15.196766,30.664766,0.313052,24.342766
31.653299,16.393898,75.633270,100.771866,1.047167,65.319344
45.819382,21.666168,68.697472,74.909782,0.344686,17.559246
