"FSC-A","FSC-H","SSC-A","GFP-A","PE-A","mCherry-A"
82.596909,41.313000,108.718651,258.755493,2.459159,208.867172
10.788260,7.102085,1.712396,6.382404,0.141279,9.842275
42.427189,25.086918,15.563547,35.839207,0.394153,21.775251
17.171789,11.055325,7.465412,31.388391,0.790870,71.264252
34.467628,20.669289,10.786779,26.194668,0.480387,72.407043
7.210660,5.048480,2.371571,9.993253,0.533022,43.438103
16.227762,10.886710,5.119111,10.205083,0.124294,10.734035
18.398567,12.242598,3.442868,14.834884,0.154761,2.737695
28.397015,17.594696,10.183102,25.900063,0.609042,75.402367
10.005458,6.362012,5.259124,7.290579,0.496875,21.972515
15.068456,9.770967,6.677857,6.896584,1.049585,108.068466
23.676743,15.420576,8.909100,32.920216,0.551075,25.810333
28.514473,18.441483,5.263381,16.417646,0.520404,19.421694
9.292516,6.433784,3.012168,10.001639,0.179908,7.647312
8.601417,5.945666,8.841871,12.310715,0.304680,8.124474
24.103102,16.298716,8.286101,18.859276,0.200514,11.207976
21.053383,13.471243,11.904896,33.069969,0.527776,28.075794
8.710915,5.506424,4.528056,10.670860,0.278515,11.653849
43.989586,26.333158,15.080924,34.220406,0.527322,46.234753
59.685387,30.539959,40.734138,92.425392,1.083997,131.483826
18.657856,12.003928,5.663369,13.585460,0.229619,16.097471
12.380010,8.343095,4.751182,10.375316,0.159191,16.023886
7.363744,4.915230,3.631733,7.782355,0.064788,6.283816
22.143673,14.867520,8.029333,13.176620,-0.054843,11.165009
38.617992,22.746508,36.498863,104.311157,0.987214,98.399345
19.405579,12.489221,13.916148,23.283648,0.182129,24.826271
14.781197,9.965018,10.492114,33.294289,0.223245,28.547609
27.010941,17.914732,8.695672,27.043407,0.378197,23.657827
28.905083,18.228516,12.092156,30.033583,0.425716,17.980793
35.934219,21.801687,11.717272,24.155643,0.621935,46.345543
17.876234,11.517047,10.095889,25.527618,1.103148,97.385719
10.504644,6.842224,4.564500,19.969797,2.612689,186.682236
11.615807,7.700359,3.641063,8.411737,-0.070764,7.792565
12.304600,7.716058,7.561790,17.327082,0.283657,25.654192
11.867191,7.549482,17.941933,49.492802,0.562473,57.760696
9.495957,6.316216,3.333738,4.263638,0.064791,7.249079
9.066755,5.893174,1.908321,19.391790,0.168236,12.058368
6.991590,4.867923,5.424424,13.483017,0.260917,18.286549
14.452984,9.689924,17.730896,47.076675,0.425950,74.024109
7.016034,4.958272,2.675081,6.720867,0.100835,7.649800
9.604300,6.346675,3.187756,9.120975,-0.143753,12.016192
27.738422,17.415424,9.125003,26.880905,0.274098,29.646908
15.035787,9.605215,5.879377,24.195511,0.459587,16.762505
6.595004,4.677320,1.748648,2.959541,0.042171,6.056085
18.088814,11.578970,11.205229,41.466862,0.674120,69.819206
8.576211,5.433888,1.299235,8.764760,0.218269,5.865755
10.612242,7.312901,3.385613,3.104899,0.160891,16.957403
37.623672,22.713476,20.041601,61.955921,0.498375,40.960468
25.665703,16.509918,7.334363,22.713703,0.517742,68.723267
9.301173,6.116164,3.081844,8.772006,0.035855,9.023313
34.634342,20.978907,9.935495,30.041475,0.706614,44.706108
33.591286,19.996981,25.460442,69.766953,1.813915,166.413879
10.368074,7.178257,3.151763,7.407989,0.326279,5.278378
23.713949,15.243458,7.995421,26.107183,0.163359,12.810399
12.545331,8.537301,13.328650,24.897440,0.696228,92.281197
21.493448,13.613126,12.138151,38.851383,0.567029,63.214241
5.965096,4.348418,2.257686,3.036306,0.147280,4.140411
8.880559,6.321861,3.511377,11.948446,0.213259,7.100909
10.595897,7.616550,4.217535,5.328480,0.135210,6.713421
17.568684,11.125010,11.093400,35.496002,0.950774,78.713669
47.014999,27.780275,18.919224,49.681488,0.510867,42.475792
15.076306,9.805528,4.463291,10.701757,0.000724,12.905262
10.237136,7.119317,3.388240,7.954269,0.223454,5.930219
22.115055,14.459805,7.175542,9.480535,0.511957,47.216240
14.411118,8.460027,10.560527,24.749954,0.412963,26.751438
24.309809,15.669721,9.125086,15.871102,0.177062,17.795033
26.907965,16.968529,10.904788,30.325521,0.498472,22.066704
16.222595,10.428033,5.238741,28.080421,0.536830,43.139473
34.436459,21.610538,13.301517,30.706268,0.380554,14.090387
5.252766,3.643211,2.210602,-1.275135,0.128791,3.147469
