set,R2,,d1,k1,d2,k2,Kd,n,k3
2,0.850750662,,0.01829,0.089296273,0.116859155,0.001023,90.41,0.964487,0.000432
64,0.841992419,,0.01829,0.09568268,0.116927987,0.001023,90.41,0.964487,0.000432
21,0.838752617,,0.01829,0.098665806,0.116748889,0.001023,90.41,0.964487,0.000432
43,0.830302575,,0.01829,0.104111811,0.116751088,0.001023,90.41,0.964487,0.000432
98,0.828205525,,0.01829,0.105722316,0.116887363,0.001023,90.41,0.964487,0.000432
26,0.811055576,,0.01829,0.115035884,0.116701036,0.001023,90.41,0.964487,0.000432
73,0.799042129,,0.01829,0.120920518,0.116875259,0.001023,90.41,0.964487,0.000432
81,0.781249346,,0.01829,0.130566972,0.116806558,0.001023,90.41,0.964487,0.000432
70,0.77637394,,0.01829,0.135155379,0.116830954,0.001023,90.41,0.964487,0.000432
91,0.74149025,,0.01829,0.152229913,0.116849654,0.001023,90.41,0.964487,0.000432
24,0.702009795,,0.01829,0.174783326,0.116751787,0.001023,90.41,0.964487,0.000432
84,0.677152505,,0.01829,0.189452351,0.116722613,0.001023,90.41,0.964487,0.000432
65,0.669986326,,0.01829,0.196110118,0.116820155,0.001023,90.41,0.964487,0.000432
11,0.667421999,,0.01829,0.198380966,0.116933591,0.001023,90.41,0.964487,0.000432
97,0.660926536,,0.01829,0.203001852,0.11698975,0.001023,90.41,0.964487,0.000432
69,0.657345555,,0.01829,0.203782397,0.116794662,0.001023,90.41,0.964487,0.000432
49,0.643981433,,0.01829,0.213386366,0.116922083,0.001023,90.41,0.964487,0.000432
57,0.623379826,,0.01829,0.224302097,0.116716019,0.001023,90.41,0.964487,0.000432
44,0.614605141,,0.01829,0.231295225,0.116739097,0.001023,90.41,0.964487,0.000432
53,0.604348786,,0.01829,0.240344027,0.116926085,0.001023,90.41,0.964487,0.000432
87,0.588381313,,0.01829,0.250707119,0.116787865,0.001023,90.41,0.964487,0.000432
6,0.582443769,,0.01829,0.254585306,0.116739697,0.001023,90.41,0.964487,0.000432
100,0.577451523,,0.01829,0.259517511,0.116829954,0.001023,90.41,0.964487,0.000432
29,0.577361485,,0.01829,0.258523484,0.11674819,0.001023,90.41,0.964487,0.000432
17,0.567026283,,0.01829,0.26556245,0.116838654,0.001023,90.41,0.964487,0.000432
94,0.533529556,,0.01829,0.292303041,0.116785966,0.001023,90.41,0.964487,0.000432
3,0.517739762,,0.01829,0.304906489,0.116712523,0.001023,90.41,0.964487,0.000432
67,0.515500964,,0.01829,0.308437139,0.116814157,0.001023,90.41,0.964487,0.000432
25,0.497373468,,0.01829,0.324215171,0.116701636,0.001023,90.41,0.964487,0.000432
59,0.489047022,,0.01829,0.336899216,0.116927687,0.001023,90.41,0.964487,0.000432
55,0.466529468,,0.01829,0.354133219,0.116704432,0.001023,90.41,0.964487,0.000432
38,0.417345925,,0.01829,0.411307536,0.116854755,0.001023,90.41,0.964487,0.000432
18,0.380752859,,0.01829,0.461494646,0.116784767,0.001023,90.41,0.964487,0.000432
77,0.346751659,,0.01829,0.511878238,0.116712923,0.001023,90.41,0.964487,0.000432
85,0.333137968,,0.01829,0.542208931,0.11690187,0.001023,90.41,0.964487,0.000432
86,0.322303024,,0.01829,0.554838599,0.116720515,0.001023,90.41,0.964487,0.000432
66,0.316786295,,0.01829,0.576545164,0.116870758,0.001023,90.41,0.964487,0.000432
22,0.31637535,,0.01829,0.57433683,0.116882061,0.001023,90.41,0.964487,0.000432
20,0.298908927,,0.01829,0.62493282,0.116973029,0.001023,90.41,0.964487,0.000432
50,0.279566425,,0.01829,0.667062715,0.11690107,0.001023,90.41,0.964487,0.000432
40,0.262254244,,0.01829,0.7120328,0.116816156,0.001023,90.41,0.964487,0.000432
8,0.213129877,,0.01829,0.856051712,0.11671572,0.001023,90.41,0.964487,0.000432
75,0.203305803,,0.01829,0.886135224,0.116755384,0.001023,90.41,0.964487,0.000432
47,0.200757978,,0.01829,0.913762505,0.116883762,0.001023,90.41,0.964487,0.000432
62,0.186105113,,0.01829,1.001920663,0.116812557,0.001023,90.41,0.964487,0.000432
9,0.185453225,,0.01829,0.982878873,0.116867057,0.001023,90.41,0.964487,0.000432
13,0.151461902,,0.01829,1.256512076,0.116889964,0.001023,90.41,0.964487,0.000432
54,0.134442761,,0.01829,1.361967256,0.116741295,0.001023,90.41,0.964487,0.000432
39,0.12937076,,0.01829,1.459374208,0.116789265,0.001023,90.41,0.964487,0.000432
80,0.128536262,,0.01829,1.404429684,0.116725909,0.001023,90.41,0.964487,0.000432
15,0.122515661,,0.01829,1.522299133,0.11680136,0.001023,90.41,0.964487,0.000432
63,0.110576525,,0.01829,1.72120791,0.116903371,0.001023,90.41,0.964487,0.000432
89,0.106556975,,0.01829,1.844307504,0.116956312,0.001023,90.41,0.964487,0.000432
71,0.100416978,,0.01829,1.901807986,0.11669025,0.001023,90.41,0.964487,0.000432
83,0.096699356,,0.01829,2.014497193,0.116713522,0.001023,90.41,0.964487,0.000432
16,0.095378423,,0.01829,2.053525026,0.116955911,0.001023,90.41,0.964487,0.000432
82,0.094471153,,0.01829,2.101357769,0.11674759,0.001023,90.41,0.964487,0.000432
78,0.0924719,,0.01829,2.295267638,0.116935193,0.001023,90.41,0.964487,0.000432
34,0.092377941,,0.01829,2.093308965,0.116866257,0.001023,90.41,0.964487,0.000432
4,0.092067457,,0.01829,2.125690345,0.116691848,0.001023,90.41,0.964487,0.000432
45,0.086510893,,0.01829,2.225871045,0.116860055,0.001023,90.41,0.964487,0.000432
72,0.079831911,,0.01829,2.478372986,0.116871558,0.001023,90.41,0.964487,0.000432
79,0.077693525,,0.01829,2.676085593,0.116913877,0.001023,90.41,0.964487,0.000432
56,0.07721551,,0.01829,2.63531985,0.11696412,0.001023,90.41,0.964487,0.000432
96,0.074376735,,0.01829,2.717481941,0.116868357,0.001023,90.41,0.964487,0.000432
27,0.0702457,,0.01829,2.7279307,0.116734501,0.001023,90.41,0.964487,0.000432
5,0.069957692,,0.01829,2.878502869,0.116849954,0.001023,90.41,0.964487,0.000432
28,0.069728073,,0.01829,2.945551814,0.116869958,0.001023,90.41,0.964487,0.000432
51,0.065228786,,0.01829,3.882993528,0.11698174,0.001023,90.41,0.964487,0.000432
32,0.062261344,,0.01829,3.242151713,0.116730805,0.001023,90.41,0.964487,0.000432
58,0.057222031,,0.01829,4.323478796,0.116944901,0.001023,90.41,0.964487,0.000432
41,0.056633887,,0.01829,4.08162718,0.116839754,0.001023,90.41,0.964487,0.000432
