set,R2,,d1,k1,d2,k2,Kd,n,k3
1040,0.785161585,,0.015722396,0.316835133,0.089296273,0.001453784,1727.825981,0.61920971,0.000162493
833,0.77122914,,0.015851073,0.348738584,2.403440269,0.00015223,108.6008772,1.879696839,0.045272381
804,0.761660335,,0.016199901,0.091026253,7.427340485,0.000170805,0.372248823,0.932709683,0.120920518
32,0.76023801,,0.019353796,0.043069186,0.059680621,0.001013522,0.498310456,2.553542375,0.000202224
498,0.751719727,,0.019779707,0.45621196,8.963961859,0.144821597,382.3842537,0.625681347,0.000203002
203,0.715822087,,0.0182857,0.209330896,0.023129522,0.000165006,8.759917176,2.117702602,0.00041607
675,0.705917951,,0.019420724,0.343426128,4.160702527,0.000115922,0.285649411,2.007639171,0.096790634
838,0.667516451,,0.015633694,1.453784386,5.743368298,0.025458531,0.111557815,2.42923153,0.000540132
944,0.664812786,,0.015790389,0.641948222,1.70804772,0.000424131,1.669167807,1.786950907,0.008659643
768,0.645760648,,0.015140903,9.350467678,0.798913942,0.003037386,0.260515359,0.519249562,0.000536002
565,0.645349606,,0.017319678,3.16835133,0.044754152,0.00028785,0.139369155,0.817618644,0.000315622
729,0.643644683,,0.018500881,0.634599901,6.249328199,0.000180233,0.578761988,0.553440451,0.070118616
645,0.641340152,,0.017991748,2.52638771,9.791141644,0.000406599,47.04354057,1.746540382,0.047954938
482,0.619646514,,0.015136548,7.147705768,0.012421289,0.000220885,0.295687751,0.567817808,0.000108601
1058,0.59606364,,0.015921149,4.208881192,6.619624175,0.062253915,492.6063433,0.562334318,0.000301416
175,0.594156025,,0.016508845,3.120086732,3.927956474,0.001367204,6.154130009,2.296600631,0.005217951
1006,0.59226075,,0.019724778,2.686375182,4.926063433,0.001061288,2.58523484,1.969050347,0.008430112
1100,0.583529627,,0.019437492,1.781694886,5.118782384,0.003060789,1.938652636,3.286381579,0.004888399
503,0.576170671,,0.01796761,3.637754054,0.479549379,0.011198676,1393.691549,0.709807636,0.000134638
185,0.555967967,,0.01516706,5.877148532,0.580987337,0.000751335,6.569011165,1.724884786,0.002208852
783,0.519329173,,0.015341128,4.795493794,3.80919612,0.008397822,4.050419451,0.825591487,0.00134122
700,0.493426069,,0.017675382,0.198380966,0.224302097,0.000477713,58.32212419,2.980387671,0.001823196
725,0.424575922,,0.0188899,5.787619883,0.362382041,0.005158222,0.565587757,1.764794256,0.000102133
600,0.413167738,,0.015313202,0.09137625,0.342110707,0.00261517,0.664507673,0.623516654,0.00021752
205,0.411164295,,0.01511914,8.929627309,3.120086732,0.007038822,18.37243276,2.701011907,0.00139905
66,0.362781086,,0.017432985,3.330427623,1.16815373,0.001487647,5.099175976,0.887919013,0.001045121
865,0.354487424,,0.017826879,0.533949274,2.175204034,0.001637445,10.49139729,1.431472545,0.001802326
489,0.301600377,,0.015267748,0.159404288,0.008333613,0.000106947,0.938642037,0.599777788,0.000106537
395,0.291554249,,0.018655876,0.836565596,9.753638756,0.088954243,15.1646829,3.209836917,0.000389792
200,0.12391329,,0.01626216,0.03988718,0.065942691,0.000795854,0.202224297,3.591284631,0.000124213
374,0.087624172,,0.015352902,2.08529099,5.699455056,0.000204566,472.2442369,0.737901421,0.026967043
687,0.041483197,,0.018860939,8.050694251,1.682028435,0.000234873,249.7468389,1.472737186,0.00654385
123,0.013228426,,0.016682308,0.420888119,2.366827827,0.000151066,29.68246743,1.321796426,0.014316384
670,-0.041416979,,0.018926163,0.08365656,0.587714853,0.002022243,9.605058184,0.787580884,0.000310814
1057,-0.092771092,,0.016268399,0.319276289,1.887266945,0.001612501,111.5578151,2.580230586,0.000979114
666,-0.12412444,,0.018741945,1.612501027,0.327969406,0.002133864,0.59680621,1.629579798,0.000115036
333,-0.165457076,,0.01721701,5.079644666,0.465050376,0.012956867,0.786743808,0.649994763,0.000144267
580,-0.170989547,,0.018531066,0.170804772,0.454464537,0.002759519,22.0039171,1.174055004,0.000130567
12,-0.230550447,,0.015506782,2.251645417,0.924343376,0.001069465,36.51741273,1.190444201,0.003434261
857,-0.241807609,,0.015883026,1.057223156,0.27279307,0.000459727,1.795422513,2.583810026,0.000372249
236,-0.318711608,,0.018151178,0.500226467,9.980830188,0.000565588,3.002617421,0.710792321,0.010174194
412,-0.351224673,,0.015708833,0.252638771,0.62493282,0.000548487,47.5882791,1.597150207,0.000644417
114,-0.36586005,,0.016422003,0.099045177,0.280220562,0.000168203,35.82338881,0.638828242,0.001081849
16,-0.367910389,,0.018543509,1.251699273,3.02575203,0.000315622,0.147061842,1.284760996,0.004964018
717,-0.389481291,,0.016193689,0.056994551,0.979114164,0.006060382,4.650503762,0.588249462,0.000110705
710,-0.429586954,,0.016203009,0.511878238,0.400405468,0.000375117,1.953589594,1.801876334,0.00050215
553,-0.449773285,,0.018319046,8.527727876,7.688353322,0.001128496,16.18701118,0.592751782,0.003002617
19,-0.45109896,,0.019463605,0.986658057,0.795853872,0.005991009,1.111305166,0.790863161,0.000578762
582,-0.461577801,,0.015314671,0.615413001,5.278372068,0.000362382,13.46376946,3.272742284,0.006370399
638,-0.508621659,,0.018645145,5.238014142,2.022242965,0.000115036,111.9867566,2.377590077,0.006931597
220,-0.510301577,,0.018821191,2.142068394,6.27335696,0.001001921,0.971627952,1.509949186,0.00246888
1094,-0.525494999,,0.016246573,0.034740282,7.314197223,0.005591135,1.754553708,1.392328853,0.00078373
84,-0.526403996,,0.015169969,0.335608795,0.629747811,0.00556972,0.269670434,2.145776774,0.000513846
467,-0.527051772,,0.017369575,0.115035884,6.225391476,0.000137774,0.725827357,1.066955495,0.020300185
727,-0.530892744,,0.01727158,0.920802875,8.726364175,0.252638771,4390.358656,0.599362198,0.000192383
342,-0.537810664,,0.015294125,0.128578,3.317671128,0.000592243,1.025258393,3.549215072,0.002357762
722,-0.562583536,,0.015526125,0.370823003,0.960505818,0.000382384,0.481393254,1.302695591,0.000910263
42,-0.568954888,,0.016512011,3.853304533,3.665782273,0.000171462,5.339492736,1.376972741,0.007314197
83,-0.570426244,,0.015483008,0.092789749,7.717915156,0.000172783,0.40973211,2.328659981,0.018443075
863,-0.636380367,,0.017799548,0.138835331,0.134121994,0.000113284,108.1849047,0.514948478,0.000439036
434,-0.646938103,,0.019880491,6.958249547,3.958220648,0.001021331,60.60382005,3.124228558,0.001102808
604,-0.672487082,,0.018915277,0.058098734,0.762956891,0.001557758,0.896396186,1.687046805,0.000183021
339,-0.674811999,,0.019110359,6.619624175,0.19762111,0.000250707,3.943059525,2.54823795,0.000206935
304,-0.687889495,,0.017936623,5.991009386,0.527837207,0.000583221,61.77792731,3.194300414,0.000227772
1092,-0.701311436,,0.018294469,0.104111811,8.269895086,0.017545537,3.096230849,1.548101432,0.000139905
496,-0.744399402,,0.016298066,1.218521884,4.004054683,0.000846253,0.258523484,0.785944857,0.00099426
977,-0.800846255,,0.019842399,0.18443075,1.448215973,0.000703882,2.03001852,1.334685656,0.000394306
430,-0.808443111,,0.017590837,4.945004221,1.437143053,0.000917276,1.128495938,1.474780249,0.00025361
213,-0.845350772,,0.016091522,0.538063253,4.019450334,0.002595175,0.795853872,1.316310644,0.00021503
890,-0.848035561,,0.018040122,0.109437627,4.08162718,0.004257618,0.315621563,0.687532587,0.000155776
690,-0.869328752,,0.017223616,7.484566763,0.414476584,0.000151647,3.665782273,2.241555158,0.012279104
280,-0.869595651,,0.017533577,1.232631703,3.609940136,0.000833361,1242.128901,0.715240334,0.000550596
242,-0.879856648,,0.0190646,9.980830188,2.053525026,0.018800382,0.440723965,1.140368426,0.000500226
822,-0.890567235,,0.018595149,0.147061842,0.938642037,0.013619673,80.81649291,0.721714427,0.000429042
17,-0.900545446,,0.017067422,0.330496349,6.468943132,0.000101352,1.72120791,2.937319093,0.006493816
394,-0.910579414,,0.016144073,0.237592832,2.968246743,0.001177154,1.551791374,2.943433431,0.000242196
576,-0.911571703,,0.016366979,0.062974781,0.363775405,0.000165641,23.30773115,0.711285175,0.000271748
716,-0.916318674,,0.015860196,6.154130009,0.882741071,0.000429042,7258.273574,0.620068712,0.000178169
907,-0.921765814,,0.018036662,0.083336131,0.913762505,0.000435679,0.875991718,0.601443033,0.000220039
842,-0.943490422,,0.017971056,0.447541521,5.922430869,0.000188004,0.449262325,1.510996166,0.002175204
514,-0.97721658,,0.018589801,0.956826805,2.385063795,0.000324215,6.249328199,3.730838732,0.000320504
606,-0.978279059,,0.016470894,0.427398834,0.917275935,0.000170151,1.70804772,1.562114279,0.000234873
996,-0.989533922,,0.015301459,0.074273405,2.823796095,0.000120921,5.877148532,0.761808347,0.001021331
820,-0.998072979,,0.019430038,0.449262325,7.958538716,0.000998083,3.254617835,0.659982648,0.000239423
