set,R2,,d1,k1,d2,k2,Kd,n,k3
72,0.860624868,,0.01829,0.08299,0.11669,0.000967906,90.41,0.964487,0.000432
9,0.833353351,,0.01829,0.08299,0.11669,0.001111305,90.41,0.964487,0.000432
52,0.807563465,,0.01829,0.08299,0.11669,0.00082699,90.41,0.964487,0.000432
32,0.783399761,,0.01829,0.08299,0.11669,0.000792806,90.41,0.964487,0.000432
66,0.70609282,,0.01829,0.08299,0.11669,0.000709306,90.41,0.964487,0.000432
12,0.698342988,,0.01829,0.08299,0.11669,0.000701186,90.41,0.964487,0.000432
8,0.627441229,,0.01829,0.08299,0.11669,0.000644417,90.41,0.964487,0.000432
55,0.497552981,,0.01829,0.08299,0.11669,0.001431638,90.41,0.964487,0.000432
97,0.435687743,,0.01829,0.08299,0.11669,0.000521795,90.41,0.964487,0.000432
21,0.420194295,,0.01829,0.08299,0.11669,0.000513846,90.41,0.964487,0.000432
87,0.405584555,,0.01829,0.08299,0.11669,0.000506019,90.41,0.964487,0.000432
100,0.372899195,,0.01829,0.08299,0.11669,0.00048884,90.41,0.964487,0.000432
28,0.358231086,,0.01829,0.08299,0.11669,0.000481393,90.41,0.964487,0.000432
41,0.341113339,,0.01829,0.08299,0.11669,0.001516468,90.41,0.964487,0.000432
69,0.325693851,,0.01829,0.08299,0.11669,0.00046505,90.41,0.964487,0.000432
76,0.246663126,,0.01829,0.08299,0.11669,0.000427399,90.41,0.964487,0.000432
67,0.24305152,,0.01829,0.08299,0.11669,0.000425762,90.41,0.964487,0.000432
34,0.204739487,,0.01829,0.08299,0.11669,0.000408163,90.41,0.964487,0.000432
2,0.162895781,,0.01829,0.08299,0.11669,0.001600172,90.41,0.964487,0.000432
62,0.118026859,,0.01829,0.08299,0.11669,0.000370823,90.41,0.964487,0.000432
73,0.104682298,,0.01829,0.08299,0.11669,0.001624925,90.41,0.964487,0.000432
22,0.030419813,,0.01829,0.08299,0.11669,0.000335609,90.41,0.964487,0.000432
82,0.012125952,,0.01829,0.08299,0.11669,0.001662774,90.41,0.964487,0.000432
15,0.001466927,,0.01829,0.08299,0.11669,0.000324215,90.41,0.964487,0.000432
98,-0.08286886,,0.01829,0.08299,0.11669,0.000292303,90.41,0.964487,0.000432
94,-0.133422584,,0.01829,0.08299,0.11669,0.000273842,90.41,0.964487,0.000432
68,-0.162220098,,0.01829,0.08299,0.11669,0.000263532,90.41,0.964487,0.000432
18,-0.165092833,,0.01829,0.08299,0.11669,0.000262523,90.41,0.964487,0.000432
31,-0.217615889,,0.01829,0.08299,0.11669,0.000244062,90.41,0.964487,0.000432
33,-0.257479038,,0.01829,0.08299,0.11669,0.000230409,90.41,0.964487,0.000432
38,-0.364867367,,0.01829,0.08299,0.11669,0.000194611,90.41,0.964487,0.000432
63,-0.37884014,,0.01829,0.08299,0.11669,0.000190181,90.41,0.964487,0.000432
75,-0.557393468,,0.01829,0.08299,0.11669,0.000134638,90.41,0.964487,0.000432
27,-1.285610813,,0.01829,0.08299,0.11669,0.002061421,90.41,0.964487,0.000432
16,-1.320040229,,0.01829,0.08299,0.11669,0.002069347,90.41,0.964487,0.000432
71,-1.9172175,,0.01829,0.08299,0.11669,0.002208852,90.41,0.964487,0.000432
48,-2.15292865,,0.01829,0.08299,0.11669,0.002260303,90.41,0.964487,0.000432
65,-2.407445919,,0.01829,0.08299,0.11669,0.002312952,90.41,0.964487,0.000432
74,-2.821322518,,0.01829,0.08299,0.11669,0.002394234,90.41,0.964487,0.000432
79,-3.59530313,,0.01829,0.08299,0.11669,0.002536102,90.41,0.964487,0.000432
14,-5.247357183,,0.01829,0.08299,0.11669,0.002802206,90.41,0.964487,0.000432
30,-6.162568521,,0.01829,0.08299,0.11669,0.00293427,90.41,0.964487,0.000432
84,-7.368885339,,0.01829,0.08299,0.11669,0.003096231,90.41,0.964487,0.000432
93,-7.648619373,,0.01829,0.08299,0.11669,0.003132084,90.41,0.964487,0.000432
64,-12.76163668,,0.01829,0.08299,0.11669,0.00370823,90.41,0.964487,0.000432
81,-12.90295878,,0.01829,0.08299,0.11669,0.003722488,90.41,0.964487,0.000432
25,-17.76779213,,0.01829,0.08299,0.11669,0.0041767,90.41,0.964487,0.000432
3,-40.27359116,,0.01829,0.08299,0.11669,0.005765452,90.41,0.964487,0.000432
51,-58.84294502,,0.01829,0.08299,0.11669,0.006773815,90.41,0.964487,0.000432
